DB010	DB020	DB030	DB040	DB040_F	DB090	DB090_F	DB100	DB100_F
2023	ES	849	ES51	1	99333938	1	1	1
2023	ES	850	ES51	1	190980673	1	1	1
2023	ES	851	ES51	1	147525277	1	1	1
2023	ES	852	ES51	1	101144252	1	1	1
2023	ES	853	ES51	1	112373249	1	1	1
2023	ES	855	ES51	1	540601490	1	1	1
2023	ES	856	ES51	1	137085391	1	1	1
2023	ES	857	ES51	1	156574043	1	1	1
2023	ES	858	ES51	1	156574043	1	2	1
2023	ES	859	ES51	1	237380774	1	2	1
2023	ES	861	ES51	1	171976086	1	2	1
2023	ES	862	ES51	1	114881999	1	2	1
2023	ES	863	ES51	1	156574043	1	2	1
2023	ES	864	ES51	1	242181084	1	1	1
2023	ES	866	ES51	1	139110858	1	2	1
2023	ES	867	ES51	1	241610418	1	2	1
2023	ES	868	ES51	1	577838626	1	2	1
2023	ES	869	ES51	1	225289128	1	2	1
2023	ES	870	ES51	1	148757215	1	2	1
2023	ES	871	ES51	1	338207708	1	2	1
2023	ES	872	ES51	1	208281444	1	2	1
2023	ES	873	ES51	1	130540811	1	2	1
2023	ES	874	ES51	1	142635426	1	1	1
2023	ES	875	ES51	1	169078510	1	1	1
2023	ES	876	ES51	1	214078516	1	1	1
2023	ES	877	ES51	1	130426353	1	1	1
2023	ES	878	ES51	1	135919827	1	1	1
2023	ES	879	ES51	1	134228986	1	2	1
2023	ES	880	ES51	1	38773568	1	2	1
2023	ES	881	ES51	1	110042617	1	2	1
2023	ES	882	ES51	1	270974220	1	2	1
2023	ES	883	ES51	1	188351790	1	2	1
2023	ES	884	ES51	1	119644720	1	2	1
2023	ES	885	ES51	1	137615755	1	2	1
2023	ES	886	ES51	1	1002346894	1	1	1
2023	ES	887	ES51	1	280951635	1	2	1
2023	ES	888	ES51	1	131333122	1	3	1
2023	ES	889	ES51	1	177896853	1	3	1
2023	ES	891	ES51	1	245486298	1	1	1
2023	ES	892	ES51	1	76245708	1	1	1
2023	ES	893	ES51	1	249463358	1	1	1
2023	ES	894	ES51	1	465684720	1	1	1
2023	ES	895	ES51	1	231360295	1	1	1
2023	ES	896	ES51	1	105910635	1	1	1
2023	ES	897	ES51	1	333022006	1	1	1
2023	ES	898	ES51	1	235574516	1	1	1
2023	ES	899	ES51	1	154557025	1	1	1
2023	ES	901	ES51	1	240565335	1	1	1
2023	ES	902	ES51	1	232738424	1	1	1
2023	ES	904	ES51	1	295379131	1	1	1
2023	ES	905	ES51	1	286147549	1	1	1
2023	ES	906	ES51	1	145723948	1	1	1
2023	ES	907	ES51	1	139741723	1	1	1
2023	ES	908	ES51	1	207002185	1	1	1
2023	ES	909	ES51	1	100817729	1	1	1
2023	ES	910	ES51	1	313692607	1	1	1
2023	ES	911	ES51	1	245462638	1	1	1
2023	ES	913	ES51	1	330432966	1	1	1
2023	ES	914	ES51	1	119573106	1	1	1
2023	ES	915	ES51	1	126687642	1	1	1
2023	ES	916	ES51	1	78293953	1	1	1
