HB010	HB020	HB030	HB050	HB050_F	HB060	HB060_F	HB070	HB070_F	HB080	HB080_F	HB100	HB100_F	HB120	HB120_F	HY020	HY020_F	HY022	HY022_F	HY023	HY023_F	HY030N	HY030N_F	HY040N	HY040N_F	HY050N	HY050N_F	HY060N	HY060N_F	HY070N	HY070N_F	HY080N	HY080N_F	HY081N	HY081N_F	HY090N	HY090N_F	HY100N	HY100N_F	HY110N	HY110N_F	HY120N	HY120N_F	HY130N	HY130N_F	HY131N	HY131N_F	HY145N	HY145N_F	HY170N	HY170N_F	HY010	HY010_F	HY040G	HY040G_F	HY050G	HY050G_F	HY060G	HY060G_F	HY070G	HY070G_F	HY080G	HY080G_F	HY081G	HY081G_F	HY090G	HY090G_F	HY100G	HY100G_F	HY110G	HY110G_F	HY120G	HY120G_F	HY130G	HY130G_F	HY131G	HY131G_F	HY140G	HY140G_F	HS011	HS011_F	HS021	HS021_F	HS022	HS022_F	HS031	HS031_F	HS040	HS040_F	HS050	HS050_F	HS060	HS060_F	HS090	HS090_F	HS110	HS110_F	HS120	HS120_F	HS150	HS150_F	HD080	HD080_F	HH010	HH010_F	HH021	HH021_F	HH030	HH030_F	HH050	HH050_F	HH060	HH060_F	HH070	HH070_F	CUOTAHIP	CUOTAHIP_F	HX040	HX060	HX240	VHRENTAA	VHRENTAAIA	VHPOBREZA	VHMATDEP	HI010	HI010_F	HI020	HI020_F	HI030	HI030_F	HI040	HI040_F	POBRECAT	HS160	HS160_F	HS170	HS170_F	HC020	HC020_F	HC080	HC080_F	HY030G	HY030G_F	HH040	HH040_F	HS140	HS140_F	HS180	HS180_F	HS190	HS190_F	HC001	HC001_F	HC002	HC002_F	HC003	HC003_F	HC060	HC060_F	HC070	HC070_F
2023	ES	33217	4	1	2023	1	3321701	1	3321701	1	27	1	1	1	1466550	21	1466550	21	-12000	21	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	131566	11	0	11	12000	11	0	16	0	16	0	11	0	16	1485140	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	131566	11	0	15	12000	11	0	16	0	16	6590	25	1	1	2	1	2	1	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	3	1	2	1	2	1	2	1	NA	96	31285	1	24300	1	1	6	1	1466550	1773294	0	1	2	1	NA	96	NA	96	3	1	0	2	1	2	1	70	1	2	1	438311	1	1	1	1	1	2	1	1	1	3	1	4	1	4	1	2	1	2	1
2023	ES	33218	3	1	2023	1	3321803	1	3321802	1	17	1	3	1	5810810	21	5810810	21	3138380	21	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	47250	21	0	11	0	11	36000	11	0	16	0	16	-85740	21	30000	16	7054710	25	0	15	0	15	0	15	0	15	0	16	0	16	58320	25	0	11	0	15	36000	11	0	16	0	16	1207900	25	NA	96	3	1	2	1	NA	96	1	1	1	1	1	1	1	1	1	1	5	1	NA	96	1	1	1	1	1	1	4	1	1	1	NA	96	37747	1	NA	96	3	9	2	5810810	6547953	0	0	2	1	NA	96	NA	96	2	1	0	2	1	2	1	80	1	4	1	737143	1	2	1	2	1	2	1	2	1	3	1	2	1	4	1	1	1	1	1
2023	ES	33220	3	1	2023	1	3322001	1	3322001	1	21	1	1	1	1790540	21	1790540	21	-25379	21	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	25379	11	0	16	0	16	0	11	0	16	2059010	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	25379	11	0	16	0	16	243090	25	NA	96	3	1	2	1	3	1	2	1	1	1	2	1	1	1	1	1	3	1	1	1	2	1	3	1	1	1	5	1	1	1	NA	96	23295	1	NA	96	1	6	1	1790540	2140289	0	0	1	1	6	1	NA	96	3	1	0	2	1	2	1	60	1	4	1	349749	1	2	1	1	1	2	1	2	1	3	1	3	1	4	1	1	1	1	1
2023	ES	33221	4	1	2023	1	3322101	1	3322101	1	9	1	1	1	2758370	21	2758370	21	2758370	21	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	36000	11	0	11	55000	11	0	16	0	16	13510	21	0	16	3784240	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	36000	11	0	15	55000	11	0	16	0	16	970870	25	3	1	3	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	2	1	2	1	7	1	1	1	NA	96	28384	1	75000	1	1	2	1	2758370	3179828	0	0	2	1	NA	96	NA	96	2	1	0	2	1	2	1	150	1	4	1	457459	1	2	1	1	1	2	1	2	1	3	1	2	1	4	1	1	1	1	1
2023	ES	33223	4	1	2023	1	3322301	1	3322301	1	43	1	2	1	3269820	21	1900050	21	1900050	21	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	42600	11	0	16	0	16	-30190	21	0	16	3819470	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	42600	11	0	16	0	16	507050	25	NA	96	3	1	2	1	NA	96	1	1	1	1	1	1	1	1	1	1	4	1	NA	96	1	1	2	1	1	1	10	1	1	1	NA	96	26729	1	NA	96	2	8	1.5	3269820	3729841	0	0	2	1	NA	96	NA	96	NA	97	0	2	1	2	1	90	1	3	1	460021	1	2	1	2	1	2	1	2	1	3	1	2	1	4	1	1	1	2	1
2023	ES	33224	2	1	2023	1	3322401	1	3322401	1	14	1	3	1	5989239	21	5989239	21	5989239	21	NA	-7	150000	11	0	11	0	11	0	11	0	16	0	16	0	21	180358	51	0	11	36260	11	0	16	0	16	-59950	21	0	16	7264700	25	150000	15	0	15	0	15	0	15	0	16	0	16	0	25	180358	51	0	15	36260	11	0	16	0	16	1239200	25	3	1	3	1	2	1	NA	96	1	1	1	1	1	1	1	1	1	1	3	1	NA	96	1	1	3	1	2	1	NA	97	1	1	NA	96	41529	1	45000	1	3	9	2	5989239	6242092	0	0	2	1	NA	96	NA	96	2	1	0	2	1	2	1	94	1	3	1	433211	1	2	1	2	1	2	1	2	1	NA	97	2	1	4	1	1	1	1	1
2023	ES	33225	3	1	2023	1	3322501	1	3322501	1	27	1	1	1	6556150	21	6556150	21	4798980	21	NA	-7	1097310	21	0	11	0	11	0	11	0	16	0	16	619510	21	0	11	0	11	750000	11	0	16	0	16	1275390	21	0	16	11170200	25	1201070	25	0	15	0	15	0	15	0	16	0	16	764830	25	0	11	0	15	750000	11	0	16	0	16	3864050	25	3	1	3	1	2	1	NA	96	1	1	1	1	1	1	3	1	1	1	5	1	NA	96	1	1	3	1	3	1	4	1	1	1	45000	1	64718	1	NA	96	1	3	1	6556150	6556150	0	0	2	1	NA	96	NA	96	2	1	0	2	1	2	1	70	1	4	1	0	1	2	1	3	1	2	1	2	1	3	1	2	1	4	1	1	1	1	1
2023	ES	33226	4	1	2023	1	3322601	1	3322601	1	9	1	3	1	4351486	21	2998640	21	1547430	21	NA	-7	0	11	0	11	120000	11	0	11	0	16	0	16	0	21	0	11	0	11	15000	11	240000	16	0	16	-268380	21	60000	16	4689056	25	0	15	0	15	120000	15	0	15	0	16	0	16	0	25	0	11	0	15	15000	11	240000	16	0	16	82570	25	NA	96	3	1	2	1	NA	96	1	1	1	1	1	1	1	1	1	1	5	1	NA	96	1	1	1	1	1	1	6	1	1	1	NA	96	43304	1	NA	96	3	9	2	4351486	4851707	0	0	2	1	NA	96	NA	96	3	1	0	1	1	2	1	110	1	3	1	500221	1	1	1	2	1	2	1	1	1	3	1	3	1	4	1	1	1	2	1
2023	ES	33227	3	1	2023	1	3322701	1	3322702	1	19	1	3	1	2060040	21	1385340	21	1385340	21	NA	-7	150700	21	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	0	11	0	16	0	16	-207600	21	0	16	2389370	25	150700	25	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	0	11	0	16	0	16	329330	25	NA	96	3	1	2	1	NA	96	1	1	1	1	1	1	1	1	1	1	5	1	NA	96	1	1	2	1	5	1	4	1	1	1	NA	96	19137	1	NA	96	3	11	1.8	2060040	2527183	0	0	1	1	7	1	NA	96	1	1	1	2	1	2	1	60	1	4	1	467143	1	2	1	2	1	2	1	2	1	3	1	2	1	3	1	1	1	1	1
2023	ES	33229	3	1	2023	1	3322901	1	3322901	1	18	1	3	1	3639630	21	3639630	21	3639630	21	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	123000	11	0	11	21000	11	0	16	0	16	-25540	21	0	16	4978850	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	123000	11	0	15	21000	11	0	16	0	16	1318220	25	3	1	3	1	2	1	NA	96	1	1	1	1	1	1	1	1	1	1	4	1	NA	96	1	1	1	1	2	1	5	1	1	1	NA	96	36369	1	48000	1	3	11	1.8	3639630	4163296	0	0	3	1	NA	96	9	1	1	1	0	1	1	2	1	90	1	4	1	646667	1	2	1	2	1	2	1	1	1	3	1	1	1	3	1	1	1	1	1
