RB010	RB020	RB030	RB050	RB050_F	RB080	RB080_F	RB081	RB081_F	RB082	RB082_F	RB090	RB090_F	RB200	RB200_F	RB211	RB211_F	RB220	RB220_F	RB230	RB230_F	RB240	RB240_F	RB280	RB280_F	RB290	RB290_F	RL010	RL010_F	RL020	RL020_F	RL030	RL030_F	RL040	RL040_F	RL050	RL050_F	RL060	RL060_F	RL070	RL070_F	VRLOWJOB	VREU2020	VRMATSOCDEP	VRLOWJOB_N	VREU2030_N	AROPE	AROPE_N
2023	ES	1978401	51937708	1	1976	1	46	1	47	1	2	1	1	1	1	1	NA	96	NA	96	1978404	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1978402	51937708	1	2007	1	15	1	15	1	1	1	1	1	5	1	1978404	1	1978401	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1978403	51937708	1	2009	1	13	1	13	1	1	1	1	1	5	1	1978404	1	1978401	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1978404	51937708	1	1975	1	47	1	47	1	1	1	1	1	1	1	NA	96	NA	96	1978401	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1978501	71097657	1	1961	1	61	1	61	1	1	1	1	1	1	1	NA	96	NA	96	1978502	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	0	0	0	0
2023	ES	1978502	71097657	1	1964	1	58	1	58	1	2	1	1	1	1	1	NA	96	NA	96	1978501	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	NA	0	0	0	0
2023	ES	1978503	71097657	1	1999	1	23	1	23	1	2	1	1	1	5	1	1978501	1	1978502	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	NA	0	0	0	0
2023	ES	1978504	71097657	1	1999	1	23	1	23	1	2	1	1	1	5	1	1978501	1	1978502	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	NA	0	0	0	0
2023	ES	1978901	56546785	1	1942	1	80	1	80	1	1	1	1	1	3	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
2023	ES	1979101	53445376	1	1954	1	68	1	68	1	2	1	1	1	3	1	NA	96	NA	96	NA	96	3	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	1	0	9	1	1	1
2023	ES	1979201	74339234	1	1999	1	23	1	23	1	1	1	1	1	8	1	NA	96	NA	96	NA	96	3	1	3	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	1	1	1	1	1	1	1
2023	ES	1979202	74339234	1	1961	1	61	1	61	1	2	1	1	1	4	1	NA	96	NA	96	NA	96	3	1	3	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	1	1	1	1	1	1
2023	ES	1979401	46504093	1	1959	1	63	1	63	1	1	1	1	1	4	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	1	1	0	1
2023	ES	1979501	42400084	1	1966	1	56	1	56	1	1	1	1	1	2	1	NA	96	NA	96	1979502	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1979502	42400084	1	1965	1	57	1	57	1	2	1	1	1	1	1	NA	96	NA	96	1979501	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1979701	46440939	1	1963	1	59	1	59	1	2	1	1	1	1	1	NA	96	NA	96	NA	96	3	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	1	0	1	0	1
2023	ES	1979801	74721516	1	1969	1	53	1	53	1	1	1	1	1	1	1	1979802	1	1979803	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1979802	74721516	1	1946	1	76	1	77	1	1	1	1	1	3	1	NA	96	NA	96	1979803	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
2023	ES	1979803	74721516	1	1943	1	79	1	79	1	2	1	1	1	6	1	NA	96	NA	96	1979802	1	3	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
