HB010	HB020	HB030	HB050	HB050_F	HB060	HB060_F	HB070	HB070_F	HB080	HB080_F	HB100	HB100_F	HB120	HB120_F	HY020	HY020_F	HY022	HY022_F	HY023	HY023_F	HY030N	HY030N_F	HY040N	HY040N_F	HY050N	HY050N_F	HY060N	HY060N_F	HY070N	HY070N_F	HY080N	HY080N_F	HY081N	HY081N_F	HY090N	HY090N_F	HY100N	HY100N_F	HY110N	HY110N_F	HY120N	HY120N_F	HY130N	HY130N_F	HY131N	HY131N_F	HY145N	HY145N_F	HY170N	HY170N_F	HY010	HY010_F	HY040G	HY040G_F	HY050G	HY050G_F	HY060G	HY060G_F	HY070G	HY070G_F	HY080G	HY080G_F	HY081G	HY081G_F	HY090G	HY090G_F	HY100G	HY100G_F	HY110G	HY110G_F	HY120G	HY120G_F	HY130G	HY130G_F	HY131G	HY131G_F	HY140G	HY140G_F	HS011	HS011_F	HS021	HS021_F	HS022	HS022_F	HS031	HS031_F	HS040	HS040_F	HS050	HS050_F	HS060	HS060_F	HS090	HS090_F	HS110	HS110_F	HS120	HS120_F	HS150	HS150_F	HD080	HD080_F	HH010	HH010_F	HH021	HH021_F	HH030	HH030_F	HH050	HH050_F	HH060	HH060_F	HH070	HH070_F	HI010	HI010_F	HI020	HI020_F	HI030	HI030_F	HI040	HI040_F	CUOTAHIP	CUOTAHIP_F	HX040	HX060	HX240	VHRENTAA	VHRENTAAAI	VHPOBREZA	VHMATDEP	HCH010	HCH010_F	HCH020	HCH020_F	HCH030	HCH030_F	HCH040	HCH040_F	HD100	HD100_F	HD110	HD110_F	HD120	HD120_F	HD140	HD140_F	HD150	HD150_F	HD160	HD160_F	HD170	HD170_F	HD180	HD180_F	HD190	HD190_F	HD200	HD200_F	HD210	HD210_F	HD220	HD220_F	HD225	HD225_F	HD240	HD240_F	HK010	HK010_F	HK020	HK020_F	HI012	HI012_F	HY150_1	HY150_1_F	HY150_2	HY150_2_F	HY150_3	HY150_3_F	HY150_4	HY150_4_F	POBRECAT
2021	ES	382	10	1	2021	1	38201	1	38202	1	15	1	4	1	-419450	21	-569180	21	-569180	21	1079300	56	0	11	0	11	0	11	0	11	0	16	0	16	3640	21	0	16	0	11	31247	11	776405	16	776405	16	1552811	21	0	16	2387107	25	0	15	0	15	0	15	0	15	0	16	0	16	8300	25	0	16	0	15	31247	11	776405	16	776405	16	1998904	25	 	96	3	1	2	1	 	96	1	1	1	1	1	1	1	1	1	1	5	1	 	96	1	1	4	1	1	1	7	1	1	1	          	96	30306	1	3	1	 	96	1	1	 	97	 	96	4	9	25	-419450	659850	1	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	1	1	2	1	1	1	2	1	2	1	1
2021	ES	384	9	1	2021	1	38401	1	38401	1	8	1	3	1	7199093	21	4325970	21	4325970	21	733700	56	0	11	0	11	0	11	0	11	0	16	0	16	4400	21	120000	16	0	11	44000	11	0	16	0	16	-263040	21	0	16	8342035	25	0	15	0	15	0	15	0	15	0	16	0	16	5440	25	120000	16	0	15	44000	11	0	16	0	16	1098941	25	3	1	3	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1	4	1	2	1	5	1	1	1	          	96	36406	1	2	1	 	96	 	96	1	1	620	1	3	11	20	7199093	7812794	0	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	 	96	2	1	2	1	2	1	2	1	0
2021	ES	385	10	1	2021	1	38501	1	38502	1	6	1	2	1	4942495	21	4942495	21	1779005	21	882471	56	413800	21	0	11	0	11	0	11	0	16	0	16	0	21	0	16	0	11	29600	11	0	16	0	16	237700	21	0	16	5836836	25	413800	25	0	15	0	15	0	15	0	16	0	16	0	25	0	16	0	15	29600	11	0	16	0	16	864741	25	 	96	3	1	2	1	 	96	1	1	1	1	1	1	1	1	1	1	4	1	 	96	1	1	4	1	1	1	6	1	1	1	          	96	21918	1	3	1	 	96	7	1	2	1	 	96	2	7	15	4942495	5824966	0	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	2	1	2	1	2	1	2	1	2	1	0
2021	ES	386	9	1	2021	1	38601	1	38601	1	6	1	2	1	4751870	21	3707520	21	3707520	21	0	56	2771620	21	0	11	0	11	0	11	0	16	0	16	0	21	0	16	0	11	480000	11	1524000	16	1524000	16	216200	21	0	16	8193470	25	2771620	25	0	15	0	15	0	15	0	16	0	16	0	25	0	16	0	15	480000	11	1524000	16	1524000	16	1437600	25	3	1	3	1	2	1	 	96	1	1	1	1	1	1	1	1	1	1	5	1	 	96	1	1	4	1	3	1	5	1	1	1	170000	1	183013	1	3	1	 	96	4	1	3	1	 	96	2	8	15	4751870	4751870	0	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	2	1	2	1	2	1	2	1	2	1	0
2021	ES	388	10	1	2021	1	38801	1	38801	1	18	1	2	1	1144520	21	1144520	21	1144520	21	0	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	16	0	11	0	11	0	16	0	16	-121070	21	0	16	1112000	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	16	0	15	0	11	0	16	0	16	-32520	25	3	1	2	1	1	1	3	1	2	1	1	1	2	1	2	1	3	1	2	1	1	1	2	1	3	1	3	1	4	1	1	1	45235	1	56364	1	2	1	 	96	 	96	1	1	 	96	2	10	13	1144520	1144520	1	0	 	96	 	96	 	96	 	96	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	2	1	3	1	2	1	1	1	0	1	 	96	1	1	2	1	2	1	2	1	1
2021	ES	389	10	1	2021	1	38901	1	38902	1	8	1	2	1	700238	21	700238	21	700238	21	1005978	56	597690	21	0	11	0	11	0	11	0	16	0	16	317100	21	0	16	0	11	80000	11	0	16	0	16	3120953	21	0	16	5577115	25	597690	25	0	15	0	15	0	15	0	16	0	16	399000	25	0	16	0	15	80000	11	0	16	0	16	4796877	25	 	96	3	1	2	1	 	96	1	1	1	1	1	1	1	1	1	1	6	1	 	96	1	1	1	1	1	1	6	1	1	1	          	96	38278	1	3	1	 	96	9	1	2	1	 	96	2	7	15	700238	1706216	1	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	1	1	2	1	2	1	2	1	2	1	1
2021	ES	391	9	1	2021	1	39101	1	39101	1	10	1	1	1	2702400	21	2702400	21	2702400	21	915126	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	60000	16	0	11	80000	11	0	16	0	16	-77510	21	0	16	3618040	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	60000	16	0	15	80000	11	0	16	0	16	835640	25	3	1	3	1	2	1	 	96	1	1	1	1	1	1	3	1	1	1	3	1	 	96	1	1	4	1	2	1	4	1	1	1	          	96	38947	1	2	1	 	96	 	96	2	1	400	1	1	5	10	2702400	3557526	0	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	 	96	2	1	2	1	2	1	2	1	0
2021	ES	392	8	1	2021	1	39201	1	39201	1	9	1	1	1	488080	21	488080	21	488080	21	799324	56	389910	21	0	11	0	11	0	11	0	16	0	16	0	21	0	16	0	11	24000	11	0	16	0	16	-1000	21	0	16	518750	25	389910	25	0	15	0	15	0	15	0	16	0	16	0	25	0	16	0	15	24000	11	0	16	0	16	6670	25	 	96	3	1	2	1	 	96	1	1	1	1	1	1	1	1	3	1	4	1	 	96	1	1	4	1	1	1	3	1	1	1	          	96	16631	1	3	1	 	96	1	1	2	1	 	96	1	5	10	488080	1287404	1	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	1	1	2	1	2	1	2	1	2	1	1
2021	ES	393	9	1	2021	1	39301	1	39302	1	20	1	2	1	4338312	21	4338312	21	565802	51	618591	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	16	0	11	40400	11	0	16	0	16	-35900	21	0	16	5067181	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	16	0	15	40400	11	0	16	0	16	688468	25	 	96	3	1	2	1	 	96	1	1	1	1	1	1	1	1	1	1	4	1	 	96	1	1	4	1	1	1	6	1	1	1	          	96	25635	1	2	1	 	96	 	96	2	1	 	96	2	7	15	4338312	4956904	0	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	 	96	2	1	2	1	2	1	2	1	0
2021	ES	394	8	1	2021	1	39401	1	39401	1	28	1	2	1	2759050	21	2759050	21	160720	21	709118	56	0	11	0	11	0	11	0	11	0	16	0	16	34630	21	0	16	0	11	45600	11	0	16	0	16	-79020	21	0	16	3336650	25	0	15	0	15	0	15	0	15	0	16	0	16	55790	25	0	16	0	15	45600	11	0	16	0	16	532000	25	 	96	3	1	2	1	 	96	1	1	1	1	1	1	1	1	1	1	4	1	 	96	1	1	4	1	1	1	6	1	1	1	          	96	26064	1	1	1	7	1	 	96	1	1	 	96	2	8	15	2759050	3468168	0	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	2	1	2	1	2	1	2	1	2	1	0
