RB010	RB020	RB030	RB050	RB050_F	RB080	RB080_F	RB081	RB081_F	RB082	RB082_F	RB090	RB090_F	RB200	RB200_F	RB211	RB211_F	RB220	RB220_F	RB230	RB230_F	RB240	RB240_F	RB280	RB280_F	RB290	RB290_F	RL010	RL010_F	RL020	RL020_F	RL030	RL030_F	RL040	RL040_F	RL050	RL050_F	RL060	RL060_F	RL070	RL070_F	VRLOWJOB	VREU2020	VRMATSOCDEP	VRLOWJOB_N	VREU2020_N	RCH010	RCH010_F	RCH020	RCH020_F	RK050	RK050_F	RK060	RK060_F	RK070	RK070_F	RK080	RK080_F	AROPE	AROPE_N
2021	ES	1564201	20375817	1	1982	1	38	1	38	1	2	1	1	1	1	1	 	96	 	96	1564204	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1564202	20375817	1	2013	1	7	1	8	1	2	1	1	1	5	1	1564204	1	1564201	1	 	96	1	1	1	1	 	96	35	1	0	1	0	1	0	1	0	1	21436337	1	0	0	0	0	0	2	1	3	1	1	1	1	1	 	96	 	96	0	0
2021	ES	1564203	20375817	1	2018	1	2	1	2	1	2	1	1	1	5	1	1564204	1	1564201	1	 	96	1	1	1	1	35	1	 	96	0	1	0	1	0	1	0	1	22968017	1	0	0	0	0	0	2	1	3	1	1	1	1	1	 	96	 	96	0	0
2021	ES	1564204	20375817	1	1980	1	40	1	41	1	1	1	1	1	1	1	 	96	 	96	1564201	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1564601	25084812	1	1947	1	73	1	74	1	2	1	1	1	6	1	 	96	 	96	1564602	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1564602	25084812	1	1940	1	80	1	81	1	1	1	1	1	3	1	 	96	 	96	1564601	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1565101	24053968	1	1948	1	72	1	73	1	1	1	1	1	3	1	 	96	 	96	1565102	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	1	0	9	1	 	96	 	96	 	96	 	96	 	96	 	96	1	1
2021	ES	1565102	24053968	1	1951	1	69	1	70	1	2	1	1	1	6	1	 	96	 	96	1565101	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	1	0	9	1	 	96	 	96	 	96	 	96	 	96	 	96	1	1
2021	ES	1565301	23952363	1	1975	1	45	1	46	1	2	1	1	1	1	1	 	96	 	96	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1565501	29590720	1	1939	1	81	1	82	1	1	1	1	1	3	1	 	96	 	96	1565502	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1565502	29590720	1	1940	1	80	1	81	1	2	1	1	1	4	1	 	96	 	96	1565501	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1565801	29720000	1	1990	1	30	1	30	1	1	1	1	1	1	1	 	96	 	96	1565802	1	3	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1565802	29720000	1	1992	1	28	1	28	1	2	1	1	1	1	1	 	96	 	96	1565801	1	3	1	3	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
