DB010	DB020	DB030	DB040	DB040_F	DB090	DB090_F	DB100	DB100_F
2021	ES	362	ES51	1	253705331	1	1	1
2021	ES	363	ES51	1	326304168	1	1	1
2021	ES	365	ES51	1	621467323	1	1	1
2021	ES	366	ES51	1	595111788	1	1	1
2021	ES	367	ES51	1	401003472	1	1	1
2021	ES	368	ES51	1	205849501	1	1	1
2021	ES	369	ES51	1	386127563	1	1	1
2021	ES	370	ES51	1	372371002	1	1	1
2021	ES	372	ES51	1	471897810	1	1	1
2021	ES	373	ES51	1	369333705	1	1	1
2021	ES	376	ES51	1	293145232	1	1	1
2021	ES	377	ES51	1	434196057	1	1	1
2021	ES	378	ES51	1	205883753	1	1	1
2021	ES	379	ES51	1	344243388	1	1	1
2021	ES	380	ES51	1	291474887	1	1	1
2021	ES	381	ES51	1	264880953	1	1	1
2021	ES	382	ES51	1	310835910	1	1	1
2021	ES	384	ES51	1	260962063	1	1	1
2021	ES	385	ES51	1	395075260	1	1	1
2021	ES	386	ES51	1	279686327	1	1	1
2021	ES	388	ES51	1	445467065	1	1	1
2021	ES	389	ES51	1	357078417	1	1	1
2021	ES	391	ES51	1	662830383	1	1	1
2021	ES	392	ES51	1	283263952	1	1	1
2021	ES	393	ES51	1	369333705	1	1	1
2021	ES	394	ES51	1	261585174	1	1	1
2021	ES	396	ES51	1	340795611	1	1	1
2021	ES	397	ES51	1	544341885	1	1	1
2021	ES	398	ES51	1	499820280	1	1	1
2021	ES	399	ES51	1	551660691	1	1	1
2021	ES	400	ES51	1	323124883	1	1	1
2021	ES	401	ES51	1	205883753	1	1	1
2021	ES	402	ES51	1	324981820	1	2	1
2021	ES	403	ES51	1	364758930	1	2	1
2021	ES	404	ES51	1	557791658	1	2	1
2021	ES	405	ES51	1	224996481	1	2	1
2021	ES	406	ES51	1	246155486	1	2	1
2021	ES	407	ES51	1	393131310	1	2	1
2021	ES	409	ES51	1	367599668	1	2	1
