PB010	PB020	PB030	PB040	PB040_F	PB100	PB100_F	PB110	PB110_F	PB120	PB120_F	PB130	PB130_F	PB140	PB140_F	PB150	PB150_F	PB160	PB160_F	PB170	PB170_F	PB180	PB180_F	PB190	PB190_F	PB200	PB200_F	PB210	PB210_F	PB220A	PB220A_F	PE010	PE010_F	PE020	PE020_F	PE030	PE030_F	PE040	PE040_F	PL031	PL031_F	PL015	PL015_F	PL020	PL020_F	PL025	PL025_F	PL040	PL040_F	PL051	PL051_F	PL060	PL060_F	PL073	PL073_F	PL074	PL074_F	PL075	PL075_F	PL076	PL076_F	PL080	PL080_F	PL085	PL085_F	PL086	PL086_F	PL087	PL087_F	PL089	PL089_F	PL090	PL090_F	PL100	PL100_F	PL111A	PL111A_F	PL120	PL120_F	PL130	PL130_F	PL140	PL140_F	PL150	PL150_F	PL160	PL160_F	PL170	PL170_F	PL180	PL180_F	PL190	PL190_F	PL200	PL200_F	PL211A	PL211A_F	PL211B	PL211B_F	PL211C	PL211C_F	PL211D	PL211D_F	PL211E	PL211E_F	PL211F	PL211F_F	PL211G	PL211G_F	PL211H	PL211H_F	PL211I	PL211I_F	PL211J	PL211J_F	PL211K	PL211K_F	PL211L	PL211L_F	PH010	PH010_F	PH020	PH020_F	PH030	PH030_F	PH040	PH040_F	PH050	PH050_F	PH060	PH060_F	PH070	PH070_F	PY010N	PY010N_F	PY020N	PY020N_F	PY021N	PY021N_F	PY035N	PY035N_F	PY050N	PY050N_F	PY080N	PY080N_F	PY090N	PY090N_F	PY100N	PY100N_F	PY110N	PY110N_F	PY120N	PY120N_F	PY130N	PY130N_F	PY140N	PY140N_F	PY010G	PY010G_F	PY020G	PY020G_F	PY021G	PY021G_F	PY030G	PY030G_F	PY035G	PY035G_F	PY050G	PY050G_F	PY080G	PY080G_F	PY090G	PY090G_F	PY100G	PY100G_F	PY110G	PY110G_F	PY120G	PY120G_F	PY130G	PY130G_F	PY140G	PY140G_F	P78A_U	P78B_U	PD020	PD020_F	PD030	PD030_F	PD050	PD050_F	PD060	PD060_F	PD070	PD070_F	PD080	PD080_F	PL230	PL230_F	PL250	PL250_F	PL280	PL280_F
2020	ES	1051802	161357746	1	10	01	2020	01	5	01	12	01	1968	01	2	01		96		96	1051801	01	2	01	1	01	1	01	1	01	2	01		96	1985	01	300	01	10	01	1	01	2	01		96	3	01	42	01		96	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	12	01	0	01		96		96		96		96	2	01	2	01		96		96		96	17	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	3	01	1	01	3	01	2	01		96	2	01		96	0	0	0	0	0	0	78000	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	78000	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	3	01	1	01	1	01		96	0	01		96
2020	ES	1051901	89444113	1	10	01	2020	01	9	01	01	01	1960	01	2	01		96		96	1051902	01	2	01	1	01	1	01	1	01	2	01		96	1976	01	200	01	03	01		96		96		96	2	01	52	01	45	01	0	01	0	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	g	01		96	02	01		96		96	2	01		96		96	14	01	46	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	2	01	1	01	3	01		96		96		96		96	0	0	0	0	0	0	0	0	1630690	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	2190000	40100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	3	01	1	01	1	01		96	12	01		96
2020	ES	1051902	88706730	1	10	01	2020	01	8	01	04	01	1956	01	1	01		96		96	1051901	01	2	01	1	01	1	01	1	01	2	01		96	1972	01	200	01	07	01	1	01	2	01		96	2	01	71	01		96	0	01	0	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96		96		96		96		96		96		96		96	02	01	14	01	50	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	2	01	2	01	3	01		96		96		96		96	0	0	0	0	0	0	0	0	1267730	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	1717970	40100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	3	01	1	01	1	01		96	12	01		96
2020	ES	1052001	143508272	1	10	01	2020	01	9	01	11	01	1946	01	1	01		96		96	1052002	01	2	01	1	01	1	01	1	01	2	01		96	1960	01	200	01	07	01	1	01	2	01		96	3	01	51	01		96	0	01	0	01	0	01	0	01	0	01	12	01	0	01	0	01	0	01	0	01		96		96		96		96	1	01	2	01		96		96		96	14	01	38	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	3	01	1	01	2	01	2	01		96	2	01		96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1355960	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	1355960	40100	0	0	0	0	0	0	0	0	02		1	01	1	01	2	01	3	01	1	01	3	01		96	0	01		96
2020	ES	1052002	144310339	1	10	01	2020	01	8	01	02	01	1950	01	2	01		96		96	1052001	01	2	01	1	01	1	01	1	01	2	01		96		96	0	01	10	01	2	01	2	01		96		96		96		96	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	12	01	0	01		96		96		96		96		96		96		96		96		96		96		96	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	4	01	1	01	2	01	1	01	8	01	1	01	5	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02		1	01	1	01	2	01	3	01	1	01	3	01		96	0	01		96
2020	ES	1052101	96334577	1	10	01	2020	01	22	01	03	01	1983	01	1	01		96		96	1052102	01	2	01	1	01	1	01	1	01	1	01	50	01	2013	01	500	01	03	01		96		96		96	2	01	26	01	25	01	2	01	0	01	10	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	j	01	7	01	02	01		96		96	2	01		96		96	25	01	12	01	03	01	03	01	03	01	03	01	01	01	01	01	03	01	03	01	03	01	03	01	03	01	03	01	2	01	2	01	3	01	2	01		96	2	01		96	184230	110100	0	0	0	0	0	0	1120000	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220090	40100	0	0	0	0	65095	01	0	0	1600000	40100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01		96	12	01		96
2020	ES	1052102	96682055	1	10	01	2020	01	6	01	08	01	1984	01	2	01		96		96	1052101	01	2	01	1	01	1	01	1	01	2	01		96	2006	01	500	01	01	01		96		96		96	3	01	23	01	35	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	p	01		96	13	01	1	01	2	01	2	01		96		96	23	01	13	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	2	01	2	01	3	01		96		96	2	01		96	2117070	110100	730	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2666820	40100	850	40100	0	0	644464	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01	1	01	12	01		96
2020	ES	1052201	257861129	1	11	01	2020	01	11	01	11	01	1967	01	1	01		96		96		96	3	01	3	01	1	01	1	01	2	01		96	2012	01	300	01	03	01		96		96		96	1	01	14	01	55	01	0	01	0	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	f	01		96	11	01		96		96	2	01		96		96	17	01	35	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	2	01	2	01	2	01	2	01		96	2	01		96	9992190	110100	0	0	0	0	800000	1100	6414980	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16394700	40100	0	0	0	0	2047555	01	800000	1100	7993570	40100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08		1	01	1	01	1	01	3	01	1	01	1	01		96	12	01		96
2020	ES	1052202	258581403	1	11	01	2020	01	3	01	06	01	2000	01	1	01	1052201	01		96		96	1	01	3	01	1	01	1	01	1	01	50	01	2018	01	344	01	06	01	2	01	2	01		96		96		96		96	0	01	0	01	0	01	0	01	0	01	0	01	0	01	12	01	0	01	0	01		96		96		96		96		96		96		96		96		96		96		96	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	1	01	2	01	3	01	2	01		96	2	01		96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01		96	0	01		96
2020	ES	1052203	258581403	1	11	01	2020	01	9	01	10	01	2002	01	1	01	1052201	01		96		96	1	01	3	01	1	01	1	01	1	01	50	01	2019	01	344	01	06	01	2	01	2	01		96		96		96		96	0	01	0	01	0	01	0	01	0	01	0	01	0	01	12	01	0	01	0	01		96		96		96		96		96		96		96		96		96		96		96	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	1	01	1	01	3	01	2	01		96	2	01		96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01		96	0	01		96
