HB010	HB020	HB030	HB050	HB050_F	HB060	HB060_F	HB070	HB070_F	HB080	HB080_F	HB090	HB090_F	HB100	HB100_F	HY020	HY020_F	HY022	HY022_F	HY023	HY023_F	HY030N	HY030N_F	HY040N	HY040N_F	HY050N	HY050N_F	HY060N	HY060N_F	HY070N	HY070N_F	HY080N	HY080N_F	HY081N	HY081N_F	HY090N	HY090N_F	HY100N	HY100N_F	HY110N	HY110N_F	HY120N	HY120N_F	HY130N	HY130N_F	HY131N	HY131N_F	HY145N	HY145N_F	HY170N	HY170N_F	HY010	HY010_F	HY040G	HY040G_F	HY050G	HY050G_F	HY060G	HY060G_F	HY070G	HY070G_F	HY080G	HY080G_F	HY081G	HY081G_F	HY090G	HY090G_F	HY100G	HY100G_F	HY110G	HY110G_F	HY120G	HY120G_F	HY130G	HY130G_F	HY131G	HY131G_F	HY140G	HY140G_F	HS011	HS011_F	HS021	HS021_F	HS031	HS031_F	HS040	HS040_F	HS050	HS050_F	HS060	HS060_F	HS070	HS070_F	HS080	HS080_F	HS090	HS090_F	HS100	HS100_F	HS110	HS110_F	HS120	HS120_F	HS130	HS130_F	HS140	HS140_F	HS150	HS150_F	HS160	HS160_F	HS170	HS170_F	HS180	HS180_F	HS190	HS190_F	HH010	HH010_F	HH021	HH021_F	HH030	HH030_F	HH031	HH031_F	HH040	HH040_F	HH050	HH050_F	HH060	HH060_F	HH061	HH061_F	HH070	HH070_F	HH081	HH081_F	HH091	HH091_F	H39A_U	H39B_U	H38A_U	CUOTAHIP	CUOTAHIP_F	HX040	HX060	HX240	VHRENTAA	VHRENTAAIA	VHPOBREZA	POBRECAT	VHMATDEP	HD080	HD080_F	HI022	HI022_F	HI090	HI090_F	HI100_1	HI100_1_F	HI100_2	HI100_2_F	HI100_3	HI100_3_F	HI100_4	HI100_4_F	HI100_5	HI100_5_F	HI100_6	HI100_6_F	HI100_7	HI100_7_F	HI100_8	HI100_8_F	HI100_9	HI100_9_F	HI110_1	HI110_1_F	HI110_2	HI110_2_F	HI110_3	HI110_3_F	HI110_4	HI110_4_F	HI120	HI120_F	HC010	HC010_F	HC020	HC020_F	HC030	HC030_F	HC040	HC040_F	HC050	HC050_F	HV010	HV010_F	HV070	HV070_F	HV020	HV020_F	HV080	HV080_F
2020	ES	22645	11	01	2020	1	2264501	01	2264501	01		96	14	01	2339430	10100	2339430	10100	2339430	10100	642784	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72000	110100	0	0	0	0	360000	110100	360000	110100	41580	110100	0	0	3516550	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72000	10100	0	0	0	0	360000	10100	360000	10100	817120	1100	1	01	3	01		96	2	01	1	01	2	01	1	01	1	01	1	01	1	01	1	01	2	01	150000	01	1	01		96	2	01	2	01	2	01	2	01	2	01	2	01	5	01	2007	01	2	01	1	01		96	60000	01	31869	01	1	01	1	01	06	06	96	550	01	1	02	1	2339430	2910214	0	0	0	2	01	3	01	0	01		96		96		96		96		96		96		96		96		96		96		96		96		96		96	15000	01		96		96	19200	01	2	01	19000000	01	8000000	01	2	01	1	01
2020	ES	22647	11	01	2020	1	2264701	01	2264702	01		96	17	01	3041552	12058	3041552	12058	3041552	12058	606784	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-34440	110100	30000	110100	3582025	32060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540473	1067		96	3	01	3	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	4	01	250000	01	1	01	1	01	2	01	2	01	2	01	2	01	2	01	1	01	6	01	1992	01	2	01	1	01		96	50000	01	30919	01	1	01	1	01	96	96	96		96	3	11	1.8	3041552	3648336	0	0	0	1	01	3	01	1	01	2	01	1	01	2	01	2	01	2	01	2	01	2	01	2	01	2	01	1	01	2	01	2	01	2	01	26100	01	60000	01		96		96	38200	01	4	01	16000000	01		96	2	01	2	01
2020	ES	22648	12	01	2020	1	2264801	01	2264801	01		96	7	01	3426782	12052	3426782	12052	3426782	12052	540302	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37158	112000	0	0	0	0	0	0	0	0	0	0	0	0	4135782	32053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37158	12000	0	0	0	0	0	0	0	0	708999	1058	3	01	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	4	01		97	1	01		96	2	01	2	01	2	01	2	01	4	01	2	01	5	01	2019	01	2	01	1	01		96		97	24020	01	1	01	1	01	96	96	96	800	01	2	08	1.5	3426782	3929926	0	0	0	1	01	3	01	0	01		96		96		96		96		96		96		96		96		96		96		96		96		96		96	25000	01	7000	01		96	35800	01	1	01		97		97	2	01	3	01
2020	ES	22650	11	01	2020	1	2265002	01	2265001	01		96	12	01	1160300	10100	1160300	10100	0	0	512962	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1160300	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		96	3	01		96	2	01	1	01	2	01	1	01	1	01	3	01	1	01	3	01	1	01	120000	01	1	01		96	2	01	2	01	2	01	2	01	3	01	1	01	6	01	2002	01	2	01	1	01		96	50000	01	13710	01	1	01	1	01	06	06	96		96	2	07	1.5	1160300	1673262	1	1	0	2	01	3	01	0	01		96		96		96		96		96		96		96		96		96		96		96		96		96		96	30000	01		96		96		96	4	01	18000000	01		96	2	01	1	01
2020	ES	22652	11	01	2020	1	2265201	01	2265201	01		96	20	01	2569817	12030	1774167	12000	1774167	12000	305012	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15000	110100	0	0	-14920	112000	0	0	2812602	32028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15000	10100	0	0	227785	1000	3	01	3	01	2	01	2	01	1	01	2	01	1	01	1	01	1	01	1	01	2	01	2	01	150000	01	1	01	1	01	2	01	2	01	2	01	2	01	4	01	4	01	6	01	2019	01	2	01	1	01	19600	01	45000	01	35102	01	1	01	1	01	06	01	96		96	7	13	3.4	2569817	2874829	1	1	1	2	01	3	01	1	01	2	01	2	01	2	01	1	01	2	01	2	01	2	01	2	01	2	01	1	01	2	01	2	01	2	01	5800	01	80000	01		96		96		96	1	01		96		96	2	01	1	01
2020	ES	24036	01	01	2021	1	2403601	01	2403602	01		96	18	01	2153910	10100	971520	10100	0	0	389290	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2153910	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	01	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	4	01	90000	01	2	01		96	1	01	1	01	1	01	1	01	4	01	4	01	3	01	1984	01	1	01	1	01	25211	01	100000	01	34469	01	1	01	1	01	96	96	96		96	2	07	1.5	2153910	2543200	0	0	0	1	01	3	01	0	01		96		96		96		96		96		96		96		96		96		96		96		96		96		96	30000	01		96		96		96	2	01		96		96	1	01	4	01
2020	ES	24038	01	01	2021	1		97	2403801	01		96	11	01	614990	10100	363880	10100	0	0	683506	01	0	0	0	0	251110	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618380	20100	0	0	0	0	251110	10100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3390	1100		96	3	01		96	2	01	1	01	2	01	3	01	1	01	3	01	3	01	3	01	3	01	100000	01	1	01		96	2	01	2	01	2	01	1	01	4	01	1	01	4	01	1960	01	2	01	2	01		96	100000	01	14881	01	1	01	1	01	06	06	06		96	1	06	1	614990	1298496	1	1	0	2	01	3	01	0	01		96		96		96		96		96		96		96		96		96		96		96		96		96		96	20000	01		96		96		96	4	01	12000000	01		96	2	01	1	01
2020	ES	24043	01	01	2021	1	2404303	01	2404302	01		96	9	01	1661630	10100	1661630	10100	0	0	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1661630	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	01	3	01		96	1	01	1	01	2	01	1	01	1	01	1	01	1	01	2	01	3	01	180000	01	1	01		96	2	01	2	01	2	01	1	01	4	01	3	01	4	01	2014	01	2	01	1	01	55000	01		96	81094	01	1	01	1	01	06	06	96		96	5	14	2.6	1661630	1661630	1	1	0	1	01	3	01	0	01		96		96		96		96		96		96		96		96		96		96		96		96		96		96	60000	01	3000	01		96		96	2	01		96		96	2	01	1	01
2020	ES	24044	12	01	2020	1	2404402	01	2404401	01		96	25	01	1048510	10100	554640	10100	554640	10100	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120000	110100	0	0	0	0	0	0	1254810	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120000	10100	0	0	86300	1100	2	01	2	01		96	2	01	1	01	1	01	1	01	1	01	3	01	3	01	3	01	1	01	120000	01	1	01		96	2	01	1	01	1	01	1	01	4	01	3	01	2	01	2014	01	2	01	1	01	40000	01		96	55639	01	1	01	1	01	06	01	96		96	4	12	2.1	1048510	1048510	1	1	0	2	01	3	01	0	01		96		96		96		96		96		96		96		96		96		96		96		96		96		96	50000	01		96		96		96	3	01		96		96	2	01	1	01
2020	ES	24045	12	01	2020	1	2404501	01	2404501	01		96	18	01	723540	10100	547240	10100	0	0	468358	01	0	0	0	0	176300	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	728630	20100	0	0	0	0	176300	10100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5090	1100		96	3	01	3	01	2	01	1	01	2	01	1	01	1	01	3	01	2	01	3	01	1	01	120000	01	1	01		96	1	01	1	01	1	01	1	01	4	01	1	01	4	01	1970	01	2	01	1	01		96	30000	01	17848	01	1	01	1	01	01	06	96		96	1	03	1	723540	1191898	1	1	0	2	01	3	01	1	01	1	01	2	01	2	01	2	01	2	01	2	01	2	01	2	01	2	01	1	01	2	01	2	01	2	01	12000	01	25000	01		96	100	01		96	3	01		97		96	1	01	1	01
