RB010	RB020	RB030	RB050	RB050_F	RB070	RB070_F	RB080	RB080_F	RB090	RB090_F	RB200	RB200_F	RB210	RB210_F	RB220	RB220_F	RB230	RB230_F	RB240	RB240_F	RL010	RL010_F	RL020	RL020_F	RL030	RL030_F	RL040	RL040_F	RL050	RL050_F	RL060	RL060_F	RL070	RL070_F	VRLOWJOB	VREU2020	AROPE
2019	ES	46304	499510436	01	04	01	2006	01	1	01	1	01	4	01		96	46303	01		96		96	30	01	0	01	0	01	0	01	0	01		96	01	1	1
2019	ES	46305	499510436	01	06	01	1988	01	2	01	1	01	4	01		96		96	46302	01		96		96		96		96		96		96		96	01	1	1
2019	ES	46306	499510436	01	10	01	2017	01	2	01	1	01	4	01		96	46303	01		96	30	01		96	0	01	0	01	0	01	0	01	603030883	01	01	1	1
2019	ES	46307	499510436	01	09	01	2018	01	1	01	1	01	4	01	46302	01	46305	01		96	25	01		96	0	01	0	01	0	01	0	01	603030883	01	01	1	1
2019	ES	46308	499510436	01	01	01	2019	01	1	01	1	01	4	01	46302	01	46305	01		96	0	01		96		96	0	01	0	01	0	01	537820765	01	01	1	1
2019	ES	46401	233464075	01	05	01	1966	01	2	01	1	01	2	01		96		96	46402	01		96		96		96		96		96		96		96	01	1	1
2019	ES	46402	233464075	01	10	01	1941	01	1	01	1	01	3	01		96		96	46401	01		96		96		96		96		96		96		96	96	1	1
2019	ES	46501	230919986	01	04	01	1937	01	1	01	1	01	3	01		96		96	46502	01		96		96		96		96		96		96		96	96	0	0
2019	ES	46502	230919986	01	07	01	1937	01	2	01	1	01	4	01		96		96	46501	01		96		96		96		96		96		96		96	96	0	0
2019	ES	46601	654135497	01	07	01	1954	01	2	01	1	01	1	01		96		96		96		96		96		96		96		96		96		96	96	0	0
2019	ES	46801	231263330	01	01	01	1970	01	1	01	1	01	1	01		96		96	46802	01		96		96		96		96		96		96		96	01	1	1
2019	ES	46802	231263330	01	09	01	1978	01	2	01	1	01	2	01		96		96	46801	01		96		96		96		96		96		96		96	01	1	1
2019	ES	46803	231263330	01	06	01	2000	01	1	01	1	01	1	01	46801	01	46802	01		96		96		96		96		96		96		96		96	01	1	1
2019	ES	47001	427765734	01	11	01	1946	01	2	01	1	01	4	01		96		96	47002	01		96		96		96		96		96		96		96	96	0	0
2019	ES	47002	427765734	01	03	01	1947	01	1	01	1	01	3	01		96		96	47001	01		96		96		96		96		96		96		96	96	0	0
2019	ES	47101	211850587	01	06	01	1970	01	1	01	1	01	1	01		96		96	47102	01		96		96		96		96		96		96		96	00	0	0
2019	ES	47102	211850587	01	02	01	1972	01	2	01	1	01	1	01		96		96	47101	01		96		96		96		96		96		96		96	00	0	0
2019	ES	47103	211850587	01	09	01	1999	01	1	01	1	01	1	01	47101	01	47102	01		96		96		96		96		96		96		96		96	00	0	0
2019	ES	47104	211850587	01	05	01	2003	01	1	01	1	01	4	01	47101	01	47102	01		96		96		96		96		96		96		96		96	00	0	0
