PB010	PB020	PB030	PB040	PB040_F	PB100	PB100_F	PB110	PB110_F	PB120	PB120_F	PB130	PB130_F	PB140	PB140_F	PB150	PB150_F	PB160	PB160_F	PB170	PB170_F	PB180	PB180_F	PB190	PB190_F	PB200	PB200_F	PB210	PB210_F	PB220A	PB220A_F	PE010	PE010_F	PE020	PE020_F	PE030	PE030_F	PE040	PE040_F	PL031	PL031_F	PL015	PL015_F	PL020	PL020_F	PL025	PL025_F	PL040	PL040_F	PL051	PL051_F	PL060	PL060_F	PL073	PL073_F	PL074	PL074_F	PL075	PL075_F	PL076	PL076_F	PL080	PL080_F	PL085	PL085_F	PL086	PL086_F	PL087	PL087_F	PL089	PL089_F	PL090	PL090_F	PL100	PL100_F	PL111A	PL111A_F	PL120	PL120_F	PL130	PL130_F	PL140	PL140_F	PL150	PL150_F	PL160	PL160_F	PL170	PL170_F	PL180	PL180_F	PL190	PL190_F	PL200	PL200_F	PL211A	PL211A_F	PL211B	PL211B_F	PL211C	PL211C_F	PL211D	PL211D_F	PL211E	PL211E_F	PL211F	PL211F_F	PL211G	PL211G_F	PL211H	PL211H_F	PL211I	PL211I_F	PL211J	PL211J_F	PL211K	PL211K_F	PL211L	PL211L_F	PH010	PH010_F	PH020	PH020_F	PH030	PH030_F	PH040	PH040_F	PH050	PH050_F	PH060	PH060_F	PH070	PH070_F	PY010N	PY010N_F	PY020N	PY020N_F	PY021N	PY021N_F	PY035N	PY035N_F	PY050N	PY050N_F	PY080N	PY080N_F	PY090N	PY090N_F	PY100N	PY100N_F	PY110N	PY110N_F	PY120N	PY120N_F	PY130N	PY130N_F	PY140N	PY140N_F	PY010G	PY010G_F	PY020G	PY020G_F	PY021G	PY021G_F	PY030G	PY030G_F	PY035G	PY035G_F	PY050G	PY050G_F	PY080G	PY080G_F	PY090G	PY090G_F	PY100G	PY100G_F	PY110G	PY110G_F	PY120G	PY120G_F	PY130G	PY130G_F	PY140G	PY140G_F	P78A_U	P78B_U	PD020	PD020_F	PD030	PD030_F	PD050	PD050_F	PD060	PD060_F	PD070	PD070_F	PD080	PD080_F	PT220	PT220_F	PT230	PT230_F	PT240	PT240_F	PT020	PT020_F	PT030	PT030_F	PT040	PT040_F	PT250	PT250_F	PT210	PT210_F	PT060	PT060_F	PT070	PT070_F	PT090	PT090_F	PT100	PT100_F	PT110	PT110_F	PT120	PT120_F	PT130	PT130_F	PT140	PT140_F	PT150	PT150_F	PT160	PT160_F	PT170	PT170_F	PT180	PT180_F	PT190	PT190_F	PT260	PT260_F	PT270	PT270_F	PT280	PT280_F
2019	ES	2151301	25782649	1	11	01	2019	01	9	01	06	01	1943	01	1	01		96		96	2151302	01	2	01	1	01	1	01	1	01	2	01		96	1962	01	300	01	07	01	1	01	2	01		96	3	01	51	01		96	0	01	0	01	0	01	0	01	0	01	12	01	0	01	0	01	0	01	0	01		96		96		96		96	1	01	2	01		96		96		96	19	01	40	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	4	01	1	01	1	01	2	01		96		96		96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2202280	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	2557890	40100	0	0	0	0	0	0	0	0	02	02	1	01	1	01	1	01	1	01	1	01	1	01		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90
2019	ES	2151302	25743206	1	11	01	2019	01	4	01	11	01	1949	01	2	01		96		96	2151301	01	2	01	1	01	1	01	1	01	2	01		96	1967	01	300	01	07	01	1	01	2	01		96	3	01	52	01		96	0	01	0	01	0	01	0	01	0	01	12	01	0	01	0	01	0	01	0	01		96		96		96		96	1	01	2	01		96		96		96	19	01	35	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	2	01	2	01	3	01	2	01		96	2	01		96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1472210	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	1565780	40100	0	0	0	0	0	0	0	0	96	96	1	01	1	01	1	01	1	01	1	01	1	01		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90
2019	ES	2151501	28718950	1	10	01	2019	01	14	01	08	01	1947	01	2	01		96		96		96	4	01	3	01	1	01	1	01	2	01		96	1965	01	400	01	07	01	1	01	2	01		96	2	01	52	01		96	0	01	0	01	0	01	0	01	0	01	12	01	0	01	0	01	0	01	0	01		96		96		96		96		96		96		96		96		96	17	01	34	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	3	01	1	01	2	01	2	01		96		96		96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159020	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	159020	40100	0	0	0	0	0	0	0	0	01	96	1	01	1	01	1	01	3	01	1	01	1	01		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90
2019	ES	2151601	28718950	1	01	01	2020	01	9	01	10	01	1952	01	2	01		96		96		96	4	01	3	01	1	01	1	01	2	01		96	2000	01	500	01	07	01	1	01	2	01		96	3	01	23	01		96	0	01	0	01	0	01	0	01	0	01	12	01	0	01	0	01	0	01	0	01		96		96		96		96	1	01	1	01		96		96		96	17	01	47	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	4	01	1	01	1	01	2	01		96	1	01	1	01	47920	110100	0	0	0	0	0	0	0	0	0	0	0	0	2695430	110100	1005650	110100	0	0	0	0	0	0	47920	40100	0	0	0	0	0	00	0	0	0	0	0	0	0	0	2695430	40100	1005650	40100	0	0	0	0	0	0	05	02	2	01	2	01	1	01	1	01	1	01	1	01		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90
2019	ES	2151801	29216356	1	01	01	2020	01	12	01	06	01	1964	01	1	01		96		96	2151802	01	2	01	1	01	1	01	1	01	2	01		96	1990	01	500	01	01	01		96		96		96	3	01	23	01	21	01	0	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	5	01	p	01	5	01	11	01	1	01	2	01	2	01		96		96	36	01	17	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	1	01	2	01	3	01	2	01		96	2	01		96	2932910	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3857360	40100	0	0	0	0	1151735	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	2	01	2	01	1	01	1	01	2	01	1	01	1	01	1	01	1	01	3	01	1	01	1	01	2	01	2	01	7	01		93		93	5	01	1	01	1	01	1	01
2019	ES	2151802	28982780	1	01	01	2020	01	8	01	09	01	1975	01	2	01		96		96	2151801	01	2	01	1	01	1	01	1	01	2	01		96	2001	01	500	01	01	01		96		96		96	3	01	23	01	36	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	4	01	q	01		96	11	01	1	01	1	01	2	01		96		96	28	01	16	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	1	01	2	01	3	01	2	01		96	2	01		96	3738850	110100	0	0	0	0	0	0	1360330	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5178420	40100	0	0	0	0	1336821	01	0	0	1799080	40100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	2	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	3	01	1	01	2	01	2	01	1	01	1	01	2	01	4	01	1	01	1	01	1	01
2019	ES	2152101	35659437	1	01	01	2020	01	15	01	04	01	1978	01	1	01		96		96	2152102	01	1	01	2	01	1	01	1	01	2	01		96	2002	01	500	01	01	01		96		96		96	3	01	34	01	37	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	m	01		96	01	01	1	01	2	01	2	01		96		96	18	01	20	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	1	01	2	01	3	01		96		96	2	01		96	2554900	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3410850	40100	0	0	0	0	996071	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	2	01	2	01	2	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	1	01	2	01	3	01	4	01	1	01	1	01	1	01
2019	ES	2152102	35528718	1	01	01	2020	01	16	01	10	01	1980	01	2	01		96		96	2152101	01	1	01	2	01	1	01	1	01	2	01		96	2005	01	500	01	04	01		96		96		96	2	01	34	01	30	01	0	01	0	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	i	01		96	01	01		96		96	2	01		96		96	22	01	15	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	1	01	2	01	3	01	2	01		96	2	01		96	0	0	0	0	0	0	0	0	749300	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	973010	40100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	2	01	2	01	2	01	1	01	2	01	1	01	1	01	1	01	1	01	3	01	1	01	1	01	2	01	3	01	1	01	2	01	4	01	5	01	1	01	1	01	1	01
2019	ES	2152201	19067176	1	01	01	2020	01	11	01	12	01	1994	01	2	01		96		96		96	1	01	3	01	1	01	1	01	2	01		96	2017	01	500	01	02	01		96		96		96	3	01	13	01	30	01	0	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	c	01		96	03	01	2	01	1	01	1	01	1	01		96	19	01	6	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	1	01	2	01	3	01	2	01		96	2	01		96	556310	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488560	110100	0	0	0	0	0	0	600030	40100	0	0	0	0	149084	01	0	0	0	0	0	0	0	0	0	0	488560	40100	0	0	0	0	0	0	96	96	1	01	1	01	1	01	1	01	1	01	1	01		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90
2019	ES	2152601	28168827	1	01	01	2020	01	6	01	09	01	1954	01	1	01		96		96	2152602	01	2	01	1	01	1	01	1	01	2	01		96	1980	01	500	01	01	01		96		96		96	3	01	24	01	40	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	o	01		96	11	01	1	01	1	01	2	01		96		96	26	01	39	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	2	01	1	01	3	01	2	01		96	2	01		96	1613380	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1734130	40100	0	0	0	0	524050	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	96	1	01	1	01	1	01	1	01	1	01	1	01		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90
