HB010	HB020	HB030	HB050	HB050_F	HB060	HB060_F	HB070	HB070_F	HB080	HB080_F	HB090	HB090_F	HB100	HB100_F	HY020	HY020_F	HY022	HY022_F	HY023	HY023_F	HY030N	HY030N_F	HY040N	HY040N_F	HY050N	HY050N_F	HY060N	HY060N_F	HY070N	HY070N_F	HY080N	HY080N_F	HY081N	HY081N_F	HY090N	HY090N_F	HY100N	HY100N_F	HY110N	HY110N_F	HY120N	HY120N_F	HY130N	HY130N_F	HY131N	HY131N_F	HY145N	HY145N_F	HY170N	HY170N_F	HY010	HY010_F	HY040G	HY040G_F	HY050G	HY050G_F	HY060G	HY060G_F	HY070G	HY070G_F	HY080G	HY080G_F	HY081G	HY081G_F	HY090G	HY090G_F	HY100G	HY100G_F	HY110G	HY110G_F	HY120G	HY120G_F	HY130G	HY130G_F	HY131G	HY131G_F	HY140G	HY140G_F	HS011	HS011_F	HS021	HS021_F	HS031	HS031_F	HS040	HS040_F	HS050	HS050_F	HS060	HS060_F	HS070	HS070_F	HS080	HS080_F	HS090	HS090_F	HS100	HS100_F	HS110	HS110_F	HS120	HS120_F	HS130	HS130_F	HS140	HS140_F	HS150	HS150_F	HS160	HS160_F	HS170	HS170_F	HS180	HS180_F	HS190	HS190_F	HH010	HH010_F	HH021	HH021_F	HH030	HH030_F	HH031	HH031_F	HH040	HH040_F	HH050	HH050_F	HH060	HH060_F	HH061	HH061_F	HH070	HH070_F	HH081	HH081_F	HH091	HH091_F	H39A_U	H39B_U	H38A_U	CUOTAHIP	CUOTAHIP_F	HX040	HX060	HX240	VHRENTAA	VHRENTAAIA	VHPOBREZA	POBRECAT	VHMATDEP	HD080	HD080_F	HI010T	HI010T_F	HI020T	HI020T_F	HI030T	HI030T_F	HI040T	HI040T_F
2019	ES	22901	01	01	2020	01	2290102	01	2290101	01		96	6	01	864000	10100	0	0	0	0	521684	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886363	13097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22363	1000		96	2	01		96	2	01	1	01	2	01	1	01	1	01	2	01	1	01	1	01	2	01	150000	01	1	01		96	2	01	2	01	2	01	2	01	4	01	5	01	5	01	2016	01	1	01	2	01		96	50000	01	16854	01	1	01	1	01	97	01	06		96	5	13	2.4	864000	1385684	1	1	1	2	01	2	01		96		96	1	01
2019	ES	22902	01	01	2020	01	2290201	01	2290201	01		96	6	01	1780740	10100	1780740	10100	0	0	485684	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2011090	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230350	1100		96	3	01		96	2	01	1	01	2	01	1	01	1	01	3	01	1	01	3	01	2	01	120000	01	1	01		96	2	01	2	01	2	01	2	01	4	01	1	01	4	01	1970	01	2	01	1	01		96	40000	01	19295	01	1	01	1	01	01	06	96		96	1	06	1	1780740	2266424	0	0	0	2	01	2	01		96		96	1	01
2019	ES	22903	01	01	2020	01	2290303	01	2290301	01		96	5	01	6299067	12092	5943827	12092	5446080	10100	521684	01	478580	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185540	110100	0	0	7270733	32093	478580	40100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	971666	1099		96	3	01		96	1	01	1	01	2	01	1	01	1	01	1	01	1	01	1	01	3	01	300000	01	2	01		96	2	01	2	01	2	01	2	01	4	01	1	01	4	01	2004	01	2	01	1	01		96	50000	01	17822	01	1	01	1	01	06	06	96		96	6	14	3.5	6299067	6820751	0	0	0	2	01	2	01		96		96	1	01
2019	ES	22904	01	01	2020	01	2290401	01	2290402	01		96	38	01	2391010	10100	2119330	10100	2119330	10100	521684	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120000	110100	0	0	0	0	0	0	0	0	-219100	110100	0	0	2509410	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120000	10100	0	0	0	0	0	0	0	0	118400	1100	3	01	3	01		96	2	01	1	01	2	01	1	01	1	01	1	01	1	01	1	01	2	01	250000	01	1	01		96	2	01	2	01	2	01	2	01	4	01	2	01	4	01	2005	01	2	01	1	01		96	50000	01	28780	01	1	01	1	01	06	06	96	400	01	3	09	2	2391010	2792694	0	0	0	2	01	3	01		96	5	01	1	01
2019	ES	22905	01	01	2020	01	2290501	01	2290501	01		96	8	01	528580	10100	528580	10100	0	0	521684	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533320	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4740	1100		96	3	01		96	2	01	1	01	2	01	1	01	1	01	3	01	1	01	3	01	2	01	120000	01	1	01		96	2	01	2	01		97	2	01	4	01	1	01	4	01	1992	01	2	01	1	01		96	50000	01	19447	01	1	01	1	01	06	01	96		96	1	06	1	528580	1050264	1	1	0	2	01	2	01		96		96	1	01
2019	ES	22906	01	01	2020	01	2290601	01	2290601	01		96	7	01	2145220	10100	-11890	10100	-11890	10100	485660	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120000	110100	0	0	0	0	0	0	0	0	11890	110100	0	0	2409370	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120000	10100	0	0	0	0	0	0	0	0	264150	1100	3	01	3	01		96	1	01	1	01	2	01	1	01	1	01	3	01	1	01	1	01	4	01	170000	01	2	01		96	2	01	2	01	2	01	2	01	3	01	2	01	3	01	2010	01	1	01	1	01		96	45000	01	26507	01	1	01	1	01	96	96	96	388	01	1	02	1	2145220	2510880	0	0	0	1	01	2	01		96		96	2	01
2019	ES	22907	01	01	2020	01	2290702	01	2290701	01		96	7	01	1467250	10100	1377250	10100	1377250	10100	0	00	0	0	0	0	0	0	90000	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-21220	110100	0	0	1564510	20100	0	0	0	0	0	0	90000	10100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97260	1100	2	01	2	01		96	1	01	1	01	2	01	1	01	1	01	2	01	1	01	1	01	2	01	150000	01	1	01		96	2	01	2	01	2	01	2	01	3	01	3	01	4	01	2015	01	1	01	1	01	49608	01		96	63834	01	1	01	1	01	01	01	96		96	4	12	2.1	1467250	1467250	1	1	0	2	01	2	01		96		96	1	01
2019	ES	22908	01	01	2020	01	2290801	01	2290801	01		96	10	01	1754090	10100	1754090	10100	18430	10100	568746	01	0	0	0	0	0	0	0	0	0	0	0	0	3280	110100	0	0	0	0	0	0	0	0	0	0	-15150	110100	0	0	1912090	20100	0	0	0	0	0	0	0	0	0	0	0	0	7790	40100	0	0	0	0	0	0	0	0	0	0	158000	1100		96	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	4	01	100000	01	1	01		96	2	01	2	01	2	01	2	01	4	01	1	01	4	01	1985	01	2	01	1	01		96	60000	01	14177	01	1	01	1	01	96	96	96		96	2	07	1.5	1754090	2322836	0	0	0	2	01	2	01		96		96	2	01
2019	ES	22909	01	01	2020	01	2290901	01	2290901	01		96	8	01	1919920	10100	1919920	10100	1919920	10100	623322	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8410	110100	0	0	2293730	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373810	1100		96	3	01		96	2	01	2	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	150000	01	2	01		96	2	01	2	01	2	01	2	01	3	01	5	01	4	01	1970	01	2	01	2	01		96	80000	01	14885	01	1	01	1	01	06	06	06		96	3	11	1.8	1919920	2543242	0	1	0	2	01	2	01		96		96	2	01
2019	ES	22911	01	01	2020	01	2291101	01	2291101	01		96	17	01	1751940	10100	1751940	10100	0	0	568722	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1751940	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		96	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	2	01	120000	01	1	01		96	2	01	2	01	2	01	2	01	3	01	1	01	4	01	1980	01	1	01	1	01		96	65000	01	15085	01	1	01	1	01	06	06	96		96	2	07	1.5	1751940	2320662	0	0	0	1	01	2	01		96		96	2	01
