DB010	DB020	DB030	DB040	DB040_F	DB060	DB060_F	DB090	DB090_F	DB100	DB100_F
2019	ES	354	ES51	01	245	01	286989695	1	2	1
2019	ES	358	ES51	01	249	01	506311909	1	1	1
2019	ES	359	ES51	01	249	01	349018655	1	1	1
2019	ES	362	ES51	01	249	01	309020570	1	1	1
2019	ES	363	ES51	01	249	01	432915481	1	1	1
2019	ES	364	ES51	01	249	01	128424646	1	1	1
2019	ES	365	ES51	01	249	01	500605328	1	1	1
2019	ES	367	ES51	01	251	01	350431384	1	1	1
2019	ES	368	ES51	01	251	01	478119800	1	1	1
2019	ES	369	ES51	01	251	01	391062385	1	1	1
2019	ES	370	ES51	01	251	01	220454344	1	1	1
2019	ES	371	ES51	01	251	01	220111378	1	1	1
2019	ES	374	ES51	01	257	01	207399872	1	1	1
2019	ES	375	ES51	01	257	01	387801598	1	1	1
2019	ES	376	ES51	01	257	01	243939095	1	1	1
2019	ES	377	ES51	01	263	01	314100134	1	1	1
2019	ES	379	ES51	01	263	01	219454720	1	1	1
2019	ES	380	ES51	01	263	01	180119530	1	1	1
2019	ES	381	ES51	01	263	01	455913683	1	1	1
2019	ES	385	ES51	01	268	01	818885663	1	1	1
2019	ES	390	ES51	01	276	01	186657726	1	1	1
2019	ES	391	ES51	01	276	01	231673133	1	1	1
2019	ES	392	ES51	01	276	01	228458365	1	1	1
2019	ES	394	ES51	01	278	01	220418474	1	1	1
2019	ES	397	ES51	01	280	01	292407399	1	1	1
2019	ES	399	ES51	01	280	01	334287134	1	1	1
2019	ES	400	ES51	01	280	01	691875401	1	1	1
2019	ES	401	ES51	01	281	01	283910993	1	1	1
2019	ES	405	ES51	01	284	01	196418470	1	1	1
2019	ES	407	ES51	01	284	01	264691130	1	1	1
2019	ES	408	ES51	01	284	01	271101677	1	1	1
2019	ES	409	ES51	01	287	01	122048313	1	1	1
2019	ES	415	ES51	01	288	01	383653230	1	1	1
2019	ES	417	ES51	01	288	01	218861114	1	1	1
2019	ES	418	ES51	01	288	01	632707676	1	2	1
2019	ES	420	ES51	01	296	01	172226172	1	1	1
2019	ES	423	ES51	01	296	01	168049342	1	1	1
2019	ES	425	ES51	01	296	01	254537437	1	1	1
2019	ES	426	ES51	01	303	01	358449760	1	1	1
2019	ES	427	ES51	01	303	01	299951168	1	1	1
2019	ES	430	ES51	01	303	01	301847864	1	1	1
2019	ES	432	ES51	01	307	01	207075548	1	1	1
2019	ES	433	ES51	01	307	01	214226384	1	1	1
2019	ES	434	ES51	01	307	01	207399872	1	1	1
2019	ES	436	ES51	01	312	01	489505081	1	2	1
2019	ES	437	ES51	01	312	01	430572257	1	2	1
2019	ES	438	ES51	01	312	01	259960183	1	2	1
2019	ES	439	ES51	01	312	01	356244363	1	2	1
2019	ES	442	ES51	01	312	01	462709602	1	2	1
2019	ES	443	ES51	01	312	01	402402830	1	2	1
2019	ES	445	ES51	01	318	01	333960180	1	1	1
2019	ES	446	ES51	01	318	01	306640450	1	1	1
2019	ES	447	ES51	01	318	01	229621919	1	1	1
2019	ES	448	ES51	01	318	01	797989550	1	1	1
2019	ES	449	ES51	01	320	01	333960180	1	1	1
2019	ES	450	ES51	01	320	01	417537190	1	1	1
2019	ES	451	ES51	01	324	01	182693981	1	2	1
2019	ES	452	ES51	01	324	01	460563017	1	2	1
2019	ES	453	ES51	01	324	01	457749126	1	2	1
2019	ES	454	ES51	01	324	01	987637675	1	2	1
2019	ES	455	ES51	01	324	01	497544161	1	2	1
2019	ES	456	ES51	01	325	01	301266972	1	3	1
2019	ES	458	ES51	01	325	01	275660115	1	3	1
2019	ES	460	ES51	01	325	01	228526159	1	3	1
2019	ES	461	ES51	01	325	01	294264098	1	3	1
2019	ES	463	ES51	01	333	01	499510436	1	1	1
2019	ES	464	ES51	01	333	01	233464075	1	1	1
2019	ES	465	ES51	01	333	01	230919986	1	1	1
2019	ES	466	ES51	01	333	01	654135497	1	1	1
2019	ES	468	ES51	01	333	01	231263330	1	1	1
2019	ES	470	ES51	01	336	01	427765734	1	1	1
2019	ES	471	ES51	01	338	01	211850587	1	2	1
2019	ES	472	ES51	01	338	01	296595895	1	2	1
2019	ES	474	ES51	01	338	01	563626461	1	2	1
2019	ES	475	ES51	01	338	01	411215953	1	2	1
2019	ES	476	ES51	01	338	01	209374539	1	2	1
2019	ES	477	ES51	01	344	01	637510982	1	1	1
2019	ES	478	ES51	01	344	01	254236323	1	1	1
2019	ES	479	ES51	01	344	01	537585066	1	1	1
2019	ES	480	ES51	01	344	01	469087260	1	1	1
2019	ES	481	ES51	01	344	01	325555893	1	1	1
2019	ES	482	ES51	01	344	01	901917155	1	1	1
2019	ES	483	ES51	01	344	01	596027356	1	1	1
2019	ES	484	ES51	01	344	01	296595895	1	1	1
2019	ES	485	ES51	01	349	01	296595895	1	1	1
2019	ES	486	ES51	01	349	01	751703389	1	1	1
2019	ES	487	ES51	01	349	01	604888746	1	1	1
2019	ES	488	ES51	01	349	01	329686844	1	1	1
2019	ES	489	ES51	01	349	01	288483617	1	1	1
2019	ES	492	ES51	01	349	01	359112630	1	1	1
2019	ES	493	ES51	01	349	01	549426506	1	1	1
2019	ES	496	ES51	01	369	01	285265203	1	1	1
2019	ES	497	ES51	01	369	01	131166596	1	1	1
2019	ES	498	ES51	01	369	01	218235340	1	1	1
2019	ES	499	ES51	01	369	01	268000337	1	1	1
2019	ES	500	ES51	01	372	01	213490047	1	2	1
2019	ES	501	ES51	01	372	01	183624220	1	2	1
2019	ES	503	ES51	01	372	01	265720608	1	2	1
2019	ES	505	ES51	01	372	01	227644011	1	2	1
2019	ES	507	ES51	01	380	01	354847548	1	1	1
2019	ES	509	ES51	01	381	01	345817280	1	2	1
2019	ES	511	ES51	01	381	01	337389169	1	2	1
2019	ES	514	ES51	01	390	01	377176728	1	1	1
2019	ES	519	ES51	01	390	01	597875415	1	1	1
2019	ES	520	ES51	01	400	01	765679953	1	2	1
2019	ES	521	ES51	01	400	01	1505611937	1	2	1
2019	ES	525	ES51	01	403	01	425225162	1	1	1
2019	ES	528	ES51	01	404	01	405205481	1	1	1
2019	ES	529	ES51	01	405	01	386126522	1	1	1
2019	ES	530	ES51	01	405	01	340923343	1	1	1
