DB010	DB020	DB030	DB040	DB040_F	DB090	DB090_F	DB100	DB100_F
2022	ES	437	ES51	1	123799858	1	1	1
2022	ES	439	ES51	1	129435787	1	1	1
2022	ES	440	ES51	1	244243431	1	1	1
2022	ES	441	ES51	1	138068789	1	1	1
2022	ES	442	ES51	1	268462401	1	1	1
2022	ES	445	ES51	1	224391322	1	1	1
2022	ES	446	ES51	1	233230694	1	1	1
2022	ES	447	ES51	1	260701496	1	1	1
2022	ES	448	ES51	1	524793140	1	1	1
2022	ES	450	ES51	1	199653118	1	1	1
2022	ES	451	ES51	1	171565811	1	1	1
2022	ES	452	ES51	1	124955313	1	1	1
2022	ES	453	ES51	1	164614149	1	1	1
2022	ES	454	ES51	1	155280610	1	1	1
2022	ES	455	ES51	1	121650884	1	1	1
2022	ES	456	ES51	1	205896092	1	1	1
2022	ES	457	ES51	1	292135587	1	1	1
2022	ES	458	ES51	1	205046299	1	1	1
2022	ES	459	ES51	1	140684003	1	1	1
2022	ES	460	ES51	1	200546601	1	1	1
2022	ES	463	ES51	1	194105166	1	1	1
2022	ES	464	ES51	1	184536142	1	1	1
2022	ES	465	ES51	1	356449325	1	1	1
2022	ES	466	ES51	1	192592736	1	1	1
2022	ES	467	ES51	1	262515916	1	1	1
2022	ES	468	ES51	1	157362452	1	1	1
2022	ES	470	ES51	1	243062395	1	1	1
2022	ES	471	ES51	1	178143958	1	1	1
2022	ES	472	ES51	1	280937928	1	1	1
2022	ES	473	ES51	1	172614518	1	1	1
2022	ES	474	ES51	1	205046299	1	1	1
2022	ES	475	ES51	1	154883829	1	1	1
2022	ES	476	ES51	1	292135587	1	1	1
2022	ES	477	ES51	1	139890230	1	1	1
2022	ES	478	ES51	1	304202653	1	1	1
2022	ES	480	ES51	1	220789823	1	1	1
2022	ES	481	ES51	1	182949286	1	1	1
2022	ES	482	ES51	1	219807461	1	1	1
2022	ES	483	ES51	1	321260162	1	1	1
2022	ES	484	ES51	1	302159563	1	1	1
2022	ES	485	ES51	1	211786339	1	1	1
2022	ES	486	ES51	1	195151486	1	1	1
2022	ES	487	ES51	1	121650884	1	1	1
2022	ES	488	ES51	1	172614518	1	1	1
2022	ES	489	ES51	1	145127311	1	1	1
2022	ES	490	ES51	1	191725321	1	1	1
2022	ES	491	ES51	1	210143015	1	1	1
2022	ES	492	ES51	1	161719592	1	1	1
2022	ES	493	ES51	1	129371600	1	2	1
2022	ES	494	ES51	1	129618060	1	2	1
2022	ES	495	ES51	1	171553937	1	2	1
2022	ES	496	ES51	1	273956010	1	2	1
2022	ES	497	ES51	1	201903229	1	2	1
2022	ES	498	ES51	1	168539027	1	2	1
2022	ES	499	ES51	1	362998787	1	1	1
2022	ES	500	ES51	1	258112083	1	1	1
2022	ES	501	ES51	1	158597570	1	1	1
2022	ES	503	ES51	1	77856195	1	1	1
2022	ES	504	ES51	1	120944392	1	1	1
2022	ES	507	ES51	1	124274389	1	2	1
2022	ES	508	ES51	1	107275811	1	2	1
2022	ES	509	ES51	1	60906350	1	2	1
2022	ES	510	ES51	1	159225714	1	2	1
2022	ES	511	ES51	1	356182056	1	1	1
2022	ES	512	ES51	1	268649465	1	1	1
2022	ES	513	ES51	1	135566022	1	1	1
2022	ES	514	ES51	1	216298122	1	1	1
2022	ES	515	ES51	1	227901360	1	1	1
2022	ES	516	ES51	1	153591117	1	1	1
2022	ES	517	ES51	1	184444452	1	1	1
2022	ES	518	ES51	1	161510678	1	1	1
2022	ES	519	ES51	1	223774424	1	1	1
2022	ES	520	ES51	1	185447261	1	1	1
2022	ES	521	ES51	1	135527697	1	1	1
2022	ES	522	ES51	1	123966951	1	1	1
2022	ES	523	ES51	1	151024409	1	2	1
2022	ES	524	ES51	1	148683604	1	2	1
2022	ES	525	ES51	1	133025514	1	2	1
2022	ES	527	ES51	1	63347180	1	1	1
2022	ES	528	ES51	1	185845139	1	1	1
2022	ES	530	ES51	1	162786917	1	1	1
2022	ES	531	ES51	1	411250859	1	2	1
2022	ES	533	ES51	1	192937326	1	2	1
2022	ES	534	ES51	1	128546468	1	1	1
2022	ES	535	ES51	1	98922793	1	1	1
2022	ES	538	ES51	1	158597570	1	1	1
2022	ES	539	ES51	1	101083001	1	1	1
2022	ES	540	ES51	1	178832490	1	1	1
2022	ES	543	ES51	1	153933917	1	1	1
