RB010	RB020	RB030	RB050	RB050_F	RB080	RB080_F	RB081	RB081_F	RB082	RB082_F	RB090	RB090_F	RB200	RB200_F	RB211	RB211_F	RB220	RB220_F	RB230	RB230_F	RB240	RB240_F	RB280	RB280_F	RB290	RB290_F	RL010	RL010_F	RL020	RL020_F	RL030	RL030_F	RL040	RL040_F	RL050	RL050_F	RL060	RL060_F	RL070	RL070_F	VRLOWJOB	VREU2020	VRMATSOCDEP	VRLOWJOB_N	VREU2020_N	AROPE	AROPE_N
2022	ES	43701	123799858	1	1956	1	65	1	65	1	1	1	1	1	1	1		96		96	43702	1	1	1	1	1		96		96		96		96		96		96		96	9	0	0	9	0	0	0
2022	ES	43702	123799858	1	1971	1	50	1	51	1	2	1	1	1	1	1		96		96	43701	1	2	1	2	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	43703	123799858	1	2000	1	21	1	22	1	1	1	1	1	5	1	43701	1	43702	1		96	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	43704	123799858	1	2003	1	18	1	19	1	2	1	1	1	5	1		96		96		96	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	43901	129435787	1	1980	1	41	1	41	1	1	1	1	1	1	1		96		96	43902	1	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	43902	129435787	1	1979	1	42	1	42	1	2	1	1	1	1	1		96		96	43901	1	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	43903	129435787	1	2009	1	12	1	13	1	2	1	1	1	5	1	43901	1	43902	1		96	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	43904	129435787	1	2013	1	8	1	8	1	1	1	1	1	5	1	43901	1	43902	1		96	1	1	1	1		96	35	1	0	1	0	1	0	1	0	1	120406769	1	0	0	0	0	0	0	0
2022	ES	44001	244243431	1	1951	1	70	1	70	1	2	1	1	1	3	1		96		96		96	1	1	1	1		96		96		96		96		96		96		96	9	0	0	9	0	0	0
2022	ES	44101	138068789	1	1949	1	72	1	73	1	1	1	1	1	4	1		96		96	44102	1	1	1	1	1		96		96		96		96		96		96		96	9	0	0	9	0	0	0
2022	ES	44102	138068789	1	1951	1	70	1	71	1	2	1	1	1	3	1		96		96	44101	1	1	1	1	1		96		96		96		96		96		96		96	9	0	0	9	0	0	0
2022	ES	44201	268462401	1	1992	1	29	1	30	1	2	1	1	1	1	1		96		96	44202	1	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	44202	268462401	1	1992	1	29	1	29	1	1	1	1	1	1	1		96		96	44201	1	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	44203	268462401	1	2019	1	2	1	2	1	2	1	1	1	5	1	44202	1	44201	1		96	1	1	1	1	35	1		96	0	1	0	1	0	1	0	1	302452901	1	0	0	0	0	0	0	0
2022	ES	44501	224391322	1	1963	1	58	1	59	1	1	1	1	1	1	1		96		96	44502	1	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	44502	224391322	1	1965	1	56	1	56	1	2	1	1	1	1	1		96		96	44501	1	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	44503	224391322	1	1993	1	28	1	29	1	2	1	1	1	1	1	44501	1	44502	1		96	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	44504	224391322	1	1997	1	24	1	24	1	1	1	1	1	1	1	44501	1	44502	1		96	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	44505	224391322	1	2000	1	21	1	22	1	2	1	1	1	5	1	44501	1	44502	1		96	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	44601	233230694	1	1980	1	41	1	42	1	1	1	1	1	2	1		96		96		96	3	1	3	1		96		96		96		96		96		96		96	0	1	1	0	1	1	1
2022	ES	44701	260701496	1	1978	1	43	1	44	1	1	1	1	1	4	1		96		96		96	1	1	1	1		96		96		96		96		96		96		96	1	1	0	1	1	1	1
2022	ES	44801	524793140	1	1986	1	35	1	35	1	2	1	1	1	2	1		96		96	44802	1	3	1	1	1		96		96		96		96		96		96		96	0	1	0	0	0	1	0
2022	ES	44802	524793140	1	1984	1	37	1	38	1	1	1	1	1	1	1		96		96	44801	1	2	1	2	1		96		96		96		96		96		96		96	0	1	0	0	0	1	0
2022	ES	45001	199653118	1	1955	1	66	1	67	1	1	1	1	1	3	1		96		96		96	1	1	1	1		96		96		96		96		96		96		96	9	0	0	9	0	0	0
2022	ES	45101	171565811	1	1963	1	58	1	58	1	1	1	1	1	1	1		96		96		96	2	1	2	1		96		96		96		96		96		96		96	0	1	0	0	1	1	1
2022	ES	45201	124955313	1	1975	1	46	1	47	1	1	1	1	1	1	1		96		96	45202	1	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	45202	124955313	1	1979	1	42	1	43	1	2	1	1	1	1	1		96		96	45201	1	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	45203	124955313	1	2011	1	10	1	11	1	2	1	1	1	5	1	45201	1	45202	1		96	1	1	1	1		96	25	1	9	1	0	1	8	1	2	1	120602926	1	0	0	0	0	0	0	0
2022	ES	45204	124955313	1	2013	1	8	1	9	1	2	1	1	1	5	1	45201	1	45202	1		96	1	1	1	1		96	25	1	9	1	0	1	8	1	2	1	124389387	1	0	0	0	0	0	0	0
2022	ES	45301	164614149	1	1961	1	60	1	61	1	2	1	1	1	2	1		96		96	45302	1	1	1	1	1		96		96		96		96		96		96		96	9	0	0	0	0	0	0
2022	ES	45302	164614149	1	1963	1	58	1	58	1	1	1	1	1	1	1		96		96	45301	1	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	45303	164614149	1	1996	1	25	1	26	1	2	1	1	1	1	1	45302	1	45301	1		96	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	45401	155280610	1	1962	1	59	1	60	1	1	1	1	1	2	1		96		96	45402	1	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	45402	155280610	1	1962	1	59	1	59	1	2	1	1	1	1	1		96		96	45401	1	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	45501	121650884	1	1936	1	85	1	85	1	1	1	1	1	3	1		96		96		96	1	1	1	1		96		96		96		96		96		96		96	9	0	0	9	0	0	0
2022	ES	45601	205896092	1	1982	1	39	1	39	1	1	1	1	1	1	1		96		96	45602	1	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	45602	205896092	1	1980	1	41	1	41	1	2	1	1	1	1	1		96		96	45601	1	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	45603	205896092	1	2018	1	3	1	4	1	2	1	1	1	5	1	45601	1	45602	1		96	1	1	1	1	0	1		96		96	0	1	0	1	0	1	201105793	1	0	0	0	0	0	0	0
2022	ES	45604	205896092	1	2012	1	9	1	9	1	2	1	1	1		97	45601	1	45602	1		96	1	1	1	1		96	30	1	0	1	0	1	0	1	0	1	204963582	1	0	0	0	0	0	0	0
2022	ES	45701	292135587	1	1940	1	81	1	82	1	2	1	1	1	3	1		96		96		96	1	1	1	1		96		96		96		96		96		96		96	9	0	0	9	0	0	0
2022	ES	45801	205046299	1	1946	1	75	1	75	1	2	1	1	1	6	1		96		96	45802	1	1	1	1	1		96		96		96		96		96		96		96	9	0	0	9	0	0	0
2022	ES	45802	205046299	1	1946	1	75	1	76	1	1	1	1	1	3	1		96		96	45801	1	1	1	1	1		96		96		96		96		96		96		96	9	0	0	9	0	0	0
2022	ES	45901	140684003	1	1936	1	85	1	86	1	1	1	1	1	3	1		96		96	45902	1	1	1	1	1		96		96		96		96		96		96		96	9	0	0	9	0	0	0
2022	ES	45902	140684003	1	1952	1	69	1	69	1	2	1	1	1	6	1		96		96	45901	1	1	1	1	1		96		96		96		96		96		96		96	9	0	0	9	0	0	0
2022	ES	46001	200546601	1	1968	1	53	1	53	1	1	1	1	1	1	1		96		96	46002	1	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	46002	200546601	1	1970	1	51	1	51	1	2	1	1	1	1	1		96		96	46001	1	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
2022	ES	46003	200546601	1	2004	1	17	1	17	1	2	1	1	1	5	1	46001	1	46002	1		96	1	1	1	1		96		96		96		96		96		96		96	0	0	0	0	0	0	0
