HB010	HB020	HB030	HB050	HB050_F	HB060	HB060_F	HB070	HB070_F	HB080	HB080_F	HB100	HB100_F	HB120	HB120_F	HY020	HY020_F	HY022	HY022_F	HY023	HY023_F	HY030N	HY030N_F	HY040N	HY040N_F	HY050N	HY050N_F	HY060N	HY060N_F	HY070N	HY070N_F	HY080N	HY080N_F	HY081N	HY081N_F	HY090N	HY090N_F	HY100N	HY100N_F	HY110N	HY110N_F	HY120N	HY120N_F	HY130N	HY130N_F	HY131N	HY131N_F	HY145N	HY145N_F	HY170N	HY170N_F	HY010	HY010_F	HY040G	HY040G_F	HY050G	HY050G_F	HY060G	HY060G_F	HY070G	HY070G_F	HY080G	HY080G_F	HY081G	HY081G_F	HY090G	HY090G_F	HY100G	HY100G_F	HY110G	HY110G_F	HY120G	HY120G_F	HY130G	HY130G_F	HY131G	HY131G_F	HY140G	HY140G_F	HS011	HS011_F	HS021	HS021_F	HS022	HS022_F	HS031	HS031_F	HS040	HS040_F	HS050	HS050_F	HS060	HS060_F	HS090	HS090_F	HS110	HS110_F	HS120	HS120_F	HS150	HS150_F	HD080	HD080_F	HH010	HH010_F	HH021	HH021_F	HH030	HH030_F	HH050	HH050_F	HH060	HH060_F	HH070	HH070_F	HI010	HI010_F	HI020	HI020_F	HI030	HI030_F	HI040	HI040_F	CUOTAHIP	CUOTAHIP_F	HX040	HX060	HX240	VHRENTAA	VHRENTAAIA	VHPOBREZA	VHMATDEP	HS200	HS200_F	HS210	HS210_F	HS220	HS220_F	POBRECAT
2022	ES	29912	6	1	2022	1	2991201	1	2991202	1	8	1	2	1	929360	21	929360	21	-22000	21	774510	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	22000	11	0	16	0	16	0	11	0	16	951360	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	22000	11	0	16	0	16	0	25		96	3	1	2	1		96	2	1	1	1	2	1	3	1	3	1	2	1		96	2	1	4	1	1	1	4	1	2	1		96	23270	1	3	1		96	9	1		97		96	2	7	15	929360	1703870	1	0	3	1	1	1	2	1	1
2022	ES	29913	5	1	2022	1	2991301	1	2991302	1	8	1	2	1	2860740	21	2860740	21	-45000	21	569094	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	45000	11	0	16	0	16	0	11	0	16	2909300	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	45000	11	0	16	0	16	3560	25		96	3	1	2	1		96	1	1	1	1	1	1	3	1	1	1	3	1		96	2	1	3	1	1	1	5	1	1	1		96	17566	1	2	1		96		96	2	1		96	2	7	15	2860740	3429834	0	0	3	1		96	2	1	0
2022	ES	29914	6	1	2022	1	2991401	1	2991401	1	9	1	3	1	2807850	21	2807850	21	2807850	21	0	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	0	11	10000	16	0	16	-63890	21	0	16	3199480	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	0	11	10000	16	0	16	381630	25	3	1	3	1	2	1		96	2	1	1	1	2	1	2	1	2	1	4	1		96	2	1	4	1	3	1	2	1	1	1	49733	1	64452	1	2	1		96		96	3	1		96	3	11	18	2807850	2807850	0	0		96		96	3	1	0
2022	ES	29915	4	1	2022	1	2991501	1	2991501	1	7	1	1	1	1255440	21	1255440	21	1255440	21	254357	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	0	11	0	16	0	16	0	11	0	16	1340870	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	0	11	0	16	0	16	85430	25	3	1	3	1	2	1		96	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	4	1	4	1	3	1	1	1	23300	1	35620	1	2	1		96		96	2	1		96	1	2	10	1255440	1509797	0	0		96		96	3	1	0
2022	ES	29917	5	1	2022	1	2991701	1	2991701	1	22	1	5	1	3430570	21	1977480	21	1977480	21	0	56	0	11	420000	11	123250	21	0	11	0	16	0	16	0	21	0	11	420000	11	0	11	0	16	0	16	-266830	21	0	16	3315030	25	0	15	420000	15	123250	25	0	15	0	16	0	16	0	25	0	11	420000	15	0	11	0	16	0	16	-115540	25	1	1	2	1	1	1	2	1	2	1	2	1	2	1	1	1	2	1	1	1	1	1	2	1	3	1	3	1	4	1	1	1	52000	1	70031	1	3	1		96	4	1	3	1		96	5	13	26	3430570	3430570	0	1	2	1	1	1	2	1	0
2022	ES	29919	5	1	2022	1	2991901	1	2991902	1	8	1	4	1	4821970	21	3539880	21	3539880	21	0	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	0	11	0	16	0	16	-52360	21	0	16	5466900	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	0	11	0	16	0	16	644930	25	3	1	3	1	2	1		96	1	1	1	1	1	1	3	1	3	1	4	1		96	1	1	4	1	3	1	4	1	2	1	75000	1	89551	1	1	1	3	1		96	2	1		96	4	9	25	4821970	4821970	0	0	3	1	1	1	1	1	0
2022	ES	29920	6	1	2022	1	2992005	1	2992005	1	9	1	5	1	15253010	21	15253010	21	15253010	21	1070680	56	0	11	0	11	0	11	0	11	0	16	0	16	1647260	21	0	11	0	11	250000	11	0	16	0	16	-127320	21	0	16	23497920	25	0	15	0	15	0	15	0	15	0	16	0	16	2033660	25	0	11	0	15	250000	11	0	16	0	16	7994910	25		96	3	1	2	1		96	1	1	1	1	1	1	1	1	1	1	4	1		96	1	1	4	1	1	1	7	1	1	1		96	58677	1	2	1		96		96	2	1		96	5	14	26	15253010	16323690	0	0	2	1	2	1	2	1	0
2022	ES	29921	6	1	2022	1	2992101	1	2992104	1	16	1	4	1	13939661	11	13939661	11	11539661	11	1094813	56	600000	11	0	11	0	11	0	11	0	16	0	16	8660	21	0	11	0	11	152000	11	0	16	0	16	120110	21	0	16	15855390	15	600000	15	0	15	0	15	0	15	0	16	0	16	10690	25	0	11	0	15	152000	11	0	16	0	16	1763728	15		96	3	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	5	1		96	1	1	3	1	1	1	6	1	1	1		96	65795	1	2	1		96		96	1	1		96	4	12	25	13939661	15034474	0	0	3	1	2	1	2	1	0
2022	ES	29922	5	1	2022	1	2992201	1	2992201	1	13	1	3	1	5975880	21	5391190	21	2340350	21	440134	56	20000	11	0	11	0	11	0	11	0	16	0	16	65600	21	0	11	0	11	50000	11	0	16	0	16	35440	21	0	16	7197050	25	20000	15	0	15	0	15	0	15	0	16	0	16	81320	25	0	11	0	15	50000	11	0	16	0	16	1171170	25		96	3	1	2	1		96	1	1	1	1	1	1	1	1	3	1	4	1		96	1	1	3	1	1	1	3	1	1	1		96	41572	1	2	1		96		96	3	1		96	3	9	20	5975880	6416014	0	0	3	1	1	1	3	1	0
2022	ES	29923	6	1	2022	1	2992301	1	2992301	1	9	1	3	1	6823970	21	6784320	21	6784320	21	607060	56	0	11	0	11	0	11	0	11	1200000	16	1200000	16	303750	21	230034	11	0	11	120000	11	0	16	0	16	-112130	21	0	16	9183350	25	0	15	0	15	0	15	0	15	1200000	16	1200000	16	304110	25	230034	11	0	15	120000	11	0	16	0	16	2239380	25	3	1	3	1	2	1		96	1	1	1	1	1	1	1	1	1	1	3	1		96	3	1	3	1	2	1	5	1	1	1		96	61156	1	2	1		96		96		97	70000	1	3	10	18	6823970	7200995	0	0		96	2	1	3	1	0
2022	ES	29924	4	1	2022	1	2992401	1	2992401	1	7	1	1	1	5419770	21	5419770	21	5419770	21	686384	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	46000	11	0	16	0	16	-38690	21	0	16	8279990	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	46000	11	0	16	0	16	2814220	25		96	3	1	2	1		96	1	1	1	1	1	1	1	1	1	1	4	1		96	1	1	4	1	1	1	5	1	1	1		96	23697	1	2	1		96		96	2	1		96	1	5	10	5419770	6106154	0	0	1	1	1	1	1	1	0
2022	ES	29925	4	1	2022	1	2992501	1	2992502	1	10	1	2	1	5293414	21	5293414	21	571164	21	663627	56	2690	21	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	32575	11	0	16	0	16	33350	21	0	16	6317610	25	2690	25	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	32575	11	0	16	0	16	991620	25		96	3	1	2	1		96	1	1	1	1	1	1	1	1	1	1	4	1		96	1	1	4	1	1	1	5	1	1	1		96	19664	1	2	1		96		96	2	1		96	2	7	15	5293414	5957041	0	0		96	2	1	3	1	0
