mes,municipis,concepte,estat,valor
03/2020,Abrera,casos confirmats,,33
03/2020,Àger,casos confirmats,,36
03/2020,Agramunt,casos confirmats,,7
03/2020,Aguilar de Segarra,casos confirmats,,0
03/2020,Agullana,casos confirmats,..,null
03/2020,Aiguafreda,casos confirmats,,10
03/2020,Aiguamúrcia,casos confirmats,..,null
03/2020,Aiguaviva,casos confirmats,,4
03/2020,Aitona,casos confirmats,,7
03/2020,"Alamús, els",casos confirmats,..,null
03/2020,Alàs i Cerc,casos confirmats,,0
03/2020,"Albagés, l'",casos confirmats,,0
03/2020,Albatàrrec,casos confirmats,,5
03/2020,Albesa,casos confirmats,,0
03/2020,"Albi, l'",casos confirmats,,0
03/2020,Albinyana,casos confirmats,,6
03/2020,"Albiol, l'",casos confirmats,,0
03/2020,Albons,casos confirmats,..,null
03/2020,Alcanar,casos confirmats,,4
03/2020,Alcanó,casos confirmats,..,null
03/2020,Alcarràs,casos confirmats,,14
03/2020,Alcoletge,casos confirmats,,6
03/2020,Alcover,casos confirmats,..,null
03/2020,"Aldea, l'",casos confirmats,,4
03/2020,Aldover,casos confirmats,..,null
03/2020,"Aleixar, l'",casos confirmats,..,null
03/2020,Alella,casos confirmats,,28
03/2020,Alfara de Carles,casos confirmats,,0
03/2020,Alfarràs,casos confirmats,,5
03/2020,Alfés,casos confirmats,,0
03/2020,Alforja,casos confirmats,..,null
03/2020,Algerri,casos confirmats,,0
03/2020,Alguaire,casos confirmats,,7
03/2020,Alins,casos confirmats,,0
03/2020,Alió,casos confirmats,,0
03/2020,Almacelles,casos confirmats,,6
03/2020,Almatret,casos confirmats,,0
03/2020,Almenar,casos confirmats,,9
03/2020,Almoster,casos confirmats,,4
03/2020,Alp,casos confirmats,..,null
03/2020,Alpens,casos confirmats,,0
03/2020,Alpicat,casos confirmats,,12
03/2020,Alt Àneu,casos confirmats,..,null
03/2020,Altafulla,casos confirmats,,4
03/2020,Amer,casos confirmats,..,null
03/2020,"Ametlla de Mar, l'",casos confirmats,..,null
03/2020,"Ametlla del Vallès, l'",casos confirmats,,19
03/2020,"Ampolla, l'",casos confirmats,,5
03/2020,Amposta,casos confirmats,,21
03/2020,Anglès,casos confirmats,,7
03/2020,Anglesola,casos confirmats,..,null
03/2020,Arbeca,casos confirmats,..,null
03/2020,"Arboç, l'",casos confirmats,,10
03/2020,Arbúcies,casos confirmats,,8
03/2020,Arenys de Mar,casos confirmats,,35
03/2020,Arenys de Munt,casos confirmats,,26
03/2020,Argelaguer,casos confirmats,,0
03/2020,Argençola,casos confirmats,,0
03/2020,Argentona,casos confirmats,,38
03/2020,"Armentera, l'",casos confirmats,..,null
03/2020,Arnes,casos confirmats,,0
03/2020,Artés,casos confirmats,,26
03/2020,Artesa de Lleida,casos confirmats,,7
03/2020,Artesa de Segre,casos confirmats,..,null
03/2020,Ascó,casos confirmats,..,null
03/2020,Aspa,casos confirmats,,0
03/2020,"Avellanes i Santa Linya, les",casos confirmats,..,null
03/2020,Avià,casos confirmats,,18
03/2020,Avinyó,casos confirmats,,4
03/2020,Avinyonet de Puigventós,casos confirmats,,4
03/2020,Avinyonet del Penedès,casos confirmats,,6
03/2020,Badalona,casos confirmats,,1099
03/2020,Badia del Vallès,casos confirmats,,48
03/2020,Bagà,casos confirmats,,28
03/2020,Baix Pallars,casos confirmats,,0
03/2020,Balaguer,casos confirmats,,76
03/2020,Balenyà,casos confirmats,,36
03/2020,Balsareny,casos confirmats,,10
03/2020,Banyeres del Penedès,casos confirmats,,6
03/2020,Banyoles,casos confirmats,,59
03/2020,Barbens,casos confirmats,..,null
03/2020,Barberà de la Conca,casos confirmats,,0
03/2020,Barberà del Vallès,casos confirmats,,120
03/2020,Barcelona,casos confirmats,,7528
03/2020,"Baronia de Rialb, la",casos confirmats,,0
03/2020,Bàscara,casos confirmats,,0
03/2020,Bassella,casos confirmats,,0
03/2020,Batea,casos confirmats,..,null
03/2020,Begues,casos confirmats,,29
03/2020,Begur,casos confirmats,..,null
03/2020,Belianes,casos confirmats,,0
03/2020,Bellaguarda,casos confirmats,,7
03/2020,Bellcaire d'Empordà,casos confirmats,..,null
03/2020,Bellcaire d'Urgell,casos confirmats,..,null
03/2020,Bell-lloc d'Urgell,casos confirmats,,8
03/2020,Bellmunt del Priorat,casos confirmats,..,null
03/2020,Bellpuig,casos confirmats,,4
03/2020,Bellvei,casos confirmats,..,null
03/2020,Bellver de Cerdanya,casos confirmats,..,null
03/2020,Bellvís,casos confirmats,..,null
03/2020,Benavent de Segrià,casos confirmats,,4
03/2020,Benifallet,casos confirmats,..,null
03/2020,Benissanet,casos confirmats,,0
03/2020,Berga,casos confirmats,,94
03/2020,Besalú,casos confirmats,,4
03/2020,Bescanó,casos confirmats,,17
03/2020,Bigues i Riells del Fai,casos confirmats,,24
03/2020,"Bisbal d'Empordà, la",casos confirmats,,9
03/2020,"Bisbal de Falset, la",casos confirmats,,0
03/2020,"Bisbal del Penedès, la",casos confirmats,,5
03/2020,Biure,casos confirmats,,0
03/2020,Blancafort,casos confirmats,,0
03/2020,Blanes,casos confirmats,,77
03/2020,Boadella i les Escaules,casos confirmats,,0
03/2020,Bolvir,casos confirmats,,0
03/2020,Bonastre,casos confirmats,,0
03/2020,"Bòrdes, Es",casos confirmats,..,null
03/2020,Bordils,casos confirmats,,4
03/2020,"Borges Blanques, les",casos confirmats,,6
03/2020,"Borges del Camp, les",casos confirmats,,0
03/2020,Borrassà,casos confirmats,..,null
03/2020,Borredà,casos confirmats,,0
03/2020,Bossòst,casos confirmats,,9
03/2020,Bot,casos confirmats,,0
03/2020,Botarell,casos confirmats,..,null
03/2020,Bovera,casos confirmats,,0
03/2020,Bràfim,casos confirmats,..,null
03/2020,Breda,casos confirmats,,5
03/2020,"Bruc, el",casos confirmats,,5
03/2020,"Brull, el",casos confirmats,..,null
03/2020,Brunyola i Sant Martí Sapresa,casos confirmats,..,null
03/2020,Cabacés,casos confirmats,,0
03/2020,Cabanelles,casos confirmats,,0
03/2020,Cabanes,casos confirmats,,0
03/2020,"Cabanyes, les",casos confirmats,,0
03/2020,Cabra del Camp,casos confirmats,,0
03/2020,Cabrera d'Anoia,casos confirmats,,5
03/2020,Cabrera de Mar,casos confirmats,,9
03/2020,Cabrils,casos confirmats,,18
03/2020,Cadaqués,casos confirmats,,5
03/2020,Calaf,casos confirmats,,11
03/2020,Calafell,casos confirmats,,34
03/2020,Calders,casos confirmats,,4
03/2020,Caldes d'Estrac,casos confirmats,,9
03/2020,Caldes de Malavella,casos confirmats,,21
03/2020,Caldes de Montbui,casos confirmats,,61
03/2020,Calella,casos confirmats,,36
03/2020,Calldetenes,casos confirmats,,19
03/2020,Callús,casos confirmats,,7
03/2020,Calonge i Sant Antoni,casos confirmats,,15
03/2020,Camarasa,casos confirmats,,6
03/2020,Camarles,casos confirmats,,5
03/2020,Cambrils,casos confirmats,,26
03/2020,Camós,casos confirmats,..,null
03/2020,Campdevànol,casos confirmats,,8
03/2020,Campins,casos confirmats,..,null
03/2020,Campllong,casos confirmats,..,null
03/2020,Camprodon,casos confirmats,..,null
03/2020,Canet d'Adri,casos confirmats,..,null
03/2020,Canet de Mar,casos confirmats,,35
03/2020,"Canonja, la",casos confirmats,,9
03/2020,Canovelles,casos confirmats,,25
03/2020,Cànoves i Samalús,casos confirmats,,11
03/2020,Cantallops,casos confirmats,,0
03/2020,Canyelles,casos confirmats,,9
03/2020,Capçanes,casos confirmats,..,null
03/2020,Capellades,casos confirmats,,37
03/2020,Capmany,casos confirmats,,7
03/2020,Cardedeu,casos confirmats,,43
03/2020,Cardona,casos confirmats,,49
03/2020,Carme,casos confirmats,,4
03/2020,Caseres,casos confirmats,,0
03/2020,Cassà de la Selva,casos confirmats,,27
03/2020,Casserres,casos confirmats,,5
03/2020,Castellar del Vallès,casos confirmats,,86
03/2020,Castellbell i el Vilar,casos confirmats,,7
03/2020,Castellbisbal,casos confirmats,,29
03/2020,Castellcir,casos confirmats,..,null
03/2020,Castelldans,casos confirmats,,0
03/2020,Castelldefels,casos confirmats,,169
03/2020,Castellet i la Gornal,casos confirmats,..,null
03/2020,Castellfollit de la Roca,casos confirmats,..,null
03/2020,Castellfollit del Boix,casos confirmats,..,null
03/2020,Castellgalí,casos confirmats,,13
03/2020,Castellnou de Bages,casos confirmats,..,null
03/2020,Castellnou de Seana,casos confirmats,..,null
03/2020,Castelló d'Empúries,casos confirmats,,10
03/2020,Castelló de Farfanya,casos confirmats,..,null
03/2020,Castellolí,casos confirmats,,6
03/2020,Castell-Platja d'Aro,casos confirmats,,8
03/2020,Castellserà,casos confirmats,..,null
03/2020,Castellterçol,casos confirmats,..,null
03/2020,Castellvell del Camp,casos confirmats,,0
03/2020,Castellví de la Marca,casos confirmats,,0
03/2020,Castellví de Rosanes,casos confirmats,,5
03/2020,"Catllar, el",casos confirmats,,4
03/2020,"Cellera de Ter, la",casos confirmats,..,null
03/2020,Celrà,casos confirmats,,11
03/2020,Centelles,casos confirmats,,19
03/2020,Cercs,casos confirmats,,9
03/2020,Cerdanyola del Vallès,casos confirmats,,257
03/2020,Cervelló,casos confirmats,,30
03/2020,Cervera,casos confirmats,,21
03/2020,Cervià de les Garrigues,casos confirmats,,0
03/2020,Cervià de Ter,casos confirmats,,4
03/2020,Cistella,casos confirmats,,0
03/2020,Ciutadilla,casos confirmats,,0
03/2020,Colera,casos confirmats,,0
03/2020,Coll de Nargó,casos confirmats,,0
03/2020,Collbató,casos confirmats,,13
03/2020,Collsuspina,casos confirmats,..,null
03/2020,"Coma i la Pedra, la",casos confirmats,,0
03/2020,Conca de Dalt,casos confirmats,..,null
03/2020,Constantí,casos confirmats,,9
03/2020,Copons,casos confirmats,..,null
03/2020,Corbera d'Ebre,casos confirmats,,0
03/2020,Corbera de Llobregat,casos confirmats,,52
03/2020,Corbins,casos confirmats,..,null
03/2020,Corçà,casos confirmats,..,null
03/2020,Cornellà de Llobregat,casos confirmats,,367
03/2020,Cornellà del Terri,casos confirmats,,5
03/2020,Cornudella de Montsant,casos confirmats,,0
03/2020,Creixell,casos confirmats,,9
03/2020,Crespià,casos confirmats,..,null
03/2020,"Cruïlles, Monells i Sant Sadurní de l'Heura",casos confirmats,..,null
03/2020,Cubelles,casos confirmats,,24
03/2020,Cubells,casos confirmats,,0
03/2020,Cunit,casos confirmats,,27
03/2020,Darnius,casos confirmats,..,null
03/2020,Das,casos confirmats,,0
03/2020,Deltebre,casos confirmats,,4
03/2020,Dosrius,casos confirmats,,10
03/2020,Duesaigües,casos confirmats,,0
03/2020,"Escala, l'",casos confirmats,,10
03/2020,Esparreguera,casos confirmats,,57
03/2020,Espinelves,casos confirmats,,0
03/2020,"Espluga Calba, l'",casos confirmats,,0
03/2020,"Espluga de Francolí, l'",casos confirmats,,5
03/2020,Esplugues de Llobregat,casos confirmats,,178
03/2020,Espolla,casos confirmats,,0
03/2020,Esponellà,casos confirmats,,0
03/2020,Espot,casos confirmats,..,null
03/2020,"Espunyola, l'",casos confirmats,,0
03/2020,"Esquirol, l'",casos confirmats,,12
03/2020,"Estany, l'",casos confirmats,,0
03/2020,Esterri d'Àneu,casos confirmats,..,null
03/2020,Falset,casos confirmats,..,null
03/2020,"Far d'Empordà, el",casos confirmats,..,null
03/2020,"Fatarella, la",casos confirmats,,0
03/2020,Figaró-Montmany,casos confirmats,,13
03/2020,Fígols i Alinyà,casos confirmats,,0
03/2020,Figueres,casos confirmats,,48
03/2020,Figuerola del Camp,casos confirmats,..,null
03/2020,Flaçà,casos confirmats,..,null
03/2020,Flix,casos confirmats,,6
03/2020,Fogars de la Selva,casos confirmats,..,null
03/2020,Fogars de Montclús,casos confirmats,,0
03/2020,Foixà,casos confirmats,,0
03/2020,Folgueroles,casos confirmats,..,null
03/2020,Fondarella,casos confirmats,..,null
03/2020,Fonollosa,casos confirmats,,6
03/2020,Fontanals de Cerdanya,casos confirmats,..,null
03/2020,Fontcoberta,casos confirmats,,5
03/2020,Font-rubí,casos confirmats,,5
03/2020,Foradada,casos confirmats,,0
03/2020,Forallac,casos confirmats,,0
03/2020,Fornells de la Selva,casos confirmats,,11
03/2020,Fortià,casos confirmats,,0
03/2020,"Franqueses del Vallès, les",casos confirmats,,44
03/2020,Freginals,casos confirmats,..,null
03/2020,"Fuliola, la",casos confirmats,,30
03/2020,"Galera, la",casos confirmats,..,null
03/2020,Gandesa,casos confirmats,..,null
03/2020,Garcia,casos confirmats,,0
03/2020,"Garriga, la",casos confirmats,,43
03/2020,Garrigàs,casos confirmats,,0
03/2020,Garriguella,casos confirmats,,0
03/2020,Gavà,casos confirmats,,228
03/2020,Gavet de la Conca,casos confirmats,,0
03/2020,Gelida,casos confirmats,,16
03/2020,Ger,casos confirmats,,0
03/2020,Gimenells i el Pla de la Font,casos confirmats,..,null
03/2020,Ginestar,casos confirmats,..,null
03/2020,Girona,casos confirmats,,412
03/2020,Gironella,casos confirmats,,18
03/2020,Godall,casos confirmats,,0
03/2020,Golmés,casos confirmats,..,null
03/2020,Gósol,casos confirmats,,0
03/2020,"Granada, la",casos confirmats,,6
03/2020,"Granadella, la",casos confirmats,..,null
03/2020,"Granja d'Escarp, la",casos confirmats,,0
03/2020,Granollers,casos confirmats,,173
03/2020,Gratallops,casos confirmats,,0
03/2020,Gualba,casos confirmats,,5
03/2020,Gualta,casos confirmats,,0
03/2020,Guardiola de Berguedà,casos confirmats,,5
03/2020,"Guiamets, els",casos confirmats,,0
03/2020,Guils de Cerdanya,casos confirmats,,0
03/2020,Guimerà,casos confirmats,,0
03/2020,"Guingueta d'Àneu, la",casos confirmats,..,null
03/2020,Guissona,casos confirmats,,22
03/2020,Gurb,casos confirmats,,13
03/2020,Horta de Sant Joan,casos confirmats,..,null
03/2020,"Hospitalet de Llobregat, l'",casos confirmats,,1400
03/2020,"Hostalets de Pierola, els",casos confirmats,,24
03/2020,Hostalric,casos confirmats,,9
03/2020,Igualada,casos confirmats,,361
03/2020,Isona i Conca Dellà,casos confirmats,..,null
03/2020,Isòvol,casos confirmats,,0
03/2020,Ivars d'Urgell,casos confirmats,,0
03/2020,Ivars de Noguera,casos confirmats,..,null
03/2020,Jafre,casos confirmats,,0
03/2020,"Jonquera, la",casos confirmats,..,null
03/2020,Jorba,casos confirmats,,6
03/2020,Juià,casos confirmats,,0
03/2020,Juncosa,casos confirmats,,0
03/2020,Juneda,casos confirmats,,16
03/2020,Les,casos confirmats,,0
03/2020,Linyola,casos confirmats,,0
03/2020,"Llacuna, la",casos confirmats,..,null
03/2020,Lladó,casos confirmats,..,null
03/2020,Lladorre,casos confirmats,,0
03/2020,"Llagosta, la",casos confirmats,,48
03/2020,Llagostera,casos confirmats,,19
03/2020,Llambilles,casos confirmats,..,null
03/2020,Llanars,casos confirmats,..,null
03/2020,Llançà,casos confirmats,,4
03/2020,Llardecans,casos confirmats,..,null
03/2020,Llavorsí,casos confirmats,,0
03/2020,Lleida,casos confirmats,,327
03/2020,Llers,casos confirmats,,0
03/2020,Lles de Cerdanya,casos confirmats,,0
03/2020,Lliçà d'Amunt,casos confirmats,,46
03/2020,Lliçà de Vall,casos confirmats,,22
03/2020,Llinars del Vallès,casos confirmats,,32
03/2020,Llívia,casos confirmats,,0
03/2020,Llorenç del Penedès,casos confirmats,,4
03/2020,Lloret de Mar,casos confirmats,,90
03/2020,"Llosses, les",casos confirmats,,0
03/2020,Lluçà,casos confirmats,,0
03/2020,Maçanet de Cabrenys,casos confirmats,,0
03/2020,Maçanet de la Selva,casos confirmats,,4
03/2020,Madremanya,casos confirmats,,0
03/2020,Maià de Montcal,casos confirmats,..,null
03/2020,Maials,casos confirmats,,4
03/2020,Maldà,casos confirmats,,0
03/2020,Malgrat de Mar,casos confirmats,,26
03/2020,Malla,casos confirmats,,0
03/2020,Manlleu,casos confirmats,,88
03/2020,Manresa,casos confirmats,,377
03/2020,Marçà,casos confirmats,..,null
03/2020,Marganell,casos confirmats,,0
03/2020,Martorell,casos confirmats,,129
03/2020,Martorelles,casos confirmats,,17
03/2020,Mas de Barberans,casos confirmats,,0
03/2020,Masarac,casos confirmats,,0
03/2020,Masdenverge,casos confirmats,,0
03/2020,"Masies de Roda, les",casos confirmats,..,null
03/2020,"Masies de Voltregà, les",casos confirmats,,9
03/2020,Masllorenç,casos confirmats,,0
03/2020,"Masnou, el",casos confirmats,,83
03/2020,"Masó, la",casos confirmats,..,null
03/2020,Maspujols,casos confirmats,..,null
03/2020,Masquefa,casos confirmats,,25
03/2020,"Masroig, el",casos confirmats,..,null
03/2020,Massalcoreig,casos confirmats,,0
03/2020,Massanes,casos confirmats,..,null
03/2020,Massoteres,casos confirmats,,0
03/2020,Matadepera,casos confirmats,,43
03/2020,Mataró,casos confirmats,,285
03/2020,Mediona,casos confirmats,,11
03/2020,Menàrguens,casos confirmats,,0
03/2020,Mieres,casos confirmats,,0
03/2020,Miralcamp,casos confirmats,,4
03/2020,Miravet,casos confirmats,..,null
03/2020,Moià,casos confirmats,,16
03/2020,"Molar, el",casos confirmats,,0
03/2020,Molins de Rei,casos confirmats,,72
03/2020,Mollerussa,casos confirmats,,23
03/2020,Mollet del Vallès,casos confirmats,,273
03/2020,Molló,casos confirmats,,0
03/2020,Monistrol de Calders,casos confirmats,..,null
03/2020,Monistrol de Montserrat,casos confirmats,,6
03/2020,Montagut i Oix,casos confirmats,..,null
03/2020,Montblanc,casos confirmats,,8
03/2020,Montbrió del Camp,casos confirmats,..,null
03/2020,Montcada i Reixac,casos confirmats,,138
03/2020,Montellà i Martinet,casos confirmats,,0
03/2020,Montesquiu,casos confirmats,..,null
03/2020,Montferrer i Castellbò,casos confirmats,..,null
03/2020,Montferri,casos confirmats,..,null
03/2020,Montgai,casos confirmats,..,null
03/2020,Montgat,casos confirmats,,45
03/2020,Montmajor,casos confirmats,..,null
03/2020,"Montmell, el",casos confirmats,..,null
03/2020,Montmeló,casos confirmats,,27
03/2020,Montoliu de Lleida,casos confirmats,,0
03/2020,Montornès del Vallès,casos confirmats,,99
03/2020,Mont-ras,casos confirmats,,4
03/2020,Mont-roig del Camp,casos confirmats,,4
03/2020,Montseny,casos confirmats,,0
03/2020,Móra d'Ebre,casos confirmats,,4
03/2020,Móra la Nova,casos confirmats,,5
03/2020,"Morell, el",casos confirmats,..,null
03/2020,Muntanyola,casos confirmats,..,null
03/2020,Mura,casos confirmats,,0
03/2020,Naut Aran,casos confirmats,..,null
03/2020,Navarcles,casos confirmats,,49
03/2020,Navàs,casos confirmats,,40
03/2020,Navata,casos confirmats,..,null
03/2020,Navès,casos confirmats,,0
03/2020,"Nou de Gaià, la",casos confirmats,,0
03/2020,Nulles,casos confirmats,,0
03/2020,Odèn,casos confirmats,,0
03/2020,Òdena,casos confirmats,,18
03/2020,Ogassa,casos confirmats,,0
03/2020,Olèrdola,casos confirmats,..,null
03/2020,Olesa de Bonesvalls,casos confirmats,..,null
03/2020,Olesa de Montserrat,casos confirmats,,117
03/2020,Oliana,casos confirmats,,7
03/2020,Oliola,casos confirmats,,0
03/2020,Olius,casos confirmats,..,null
03/2020,Olivella,casos confirmats,..,null
03/2020,Olost,casos confirmats,..,null
03/2020,Olot,casos confirmats,,149
03/2020,Olvan,casos confirmats,..,null
03/2020,"Omellons, els",casos confirmats,,0
03/2020,Ordis,casos confirmats,,0
03/2020,Organyà,casos confirmats,..,null
03/2020,Orís,casos confirmats,..,null
03/2020,Oristà,casos confirmats,..,null
03/2020,Òrrius,casos confirmats,,0
03/2020,Os de Balaguer,casos confirmats,..,null
03/2020,Osor,casos confirmats,,0
03/2020,Ossó de Sió,casos confirmats,,0
03/2020,Pacs del Penedès,casos confirmats,..,null
03/2020,Palafolls,casos confirmats,,9
03/2020,Palafrugell,casos confirmats,,69
03/2020,Palamós,casos confirmats,,58
03/2020,"Palau d'Anglesola, el",casos confirmats,..,null
03/2020,Palau-sator,casos confirmats,..,null
03/2020,Palau-saverdera,casos confirmats,..,null
03/2020,Palau-solità i Plegamans,casos confirmats,,34
03/2020,"Pallaresos, els",casos confirmats,,36
03/2020,Pallejà,casos confirmats,,39
03/2020,"Palma d'Ebre, la",casos confirmats,..,null
03/2020,"Palma de Cervelló, la",casos confirmats,..,null
03/2020,Palol de Revardit,casos confirmats,,0
03/2020,Pals,casos confirmats,..,null
03/2020,"Papiol, el",casos confirmats,,13
03/2020,Parets del Vallès,casos confirmats,,103
03/2020,Parlavà,casos confirmats,..,null
03/2020,Pau,casos confirmats,,0
03/2020,Paüls,casos confirmats,,0
03/2020,Penelles,casos confirmats,,0
03/2020,"Pera, la",casos confirmats,,0
03/2020,Perafita,casos confirmats,,0
03/2020,Perafort,casos confirmats,..,null
03/2020,Peralada,casos confirmats,..,null
03/2020,Peramola,casos confirmats,,0
03/2020,"Perelló, el",casos confirmats,,0
03/2020,Piera,casos confirmats,,60
03/2020,"Piles, les",casos confirmats,,0
03/2020,Pineda de Mar,casos confirmats,,42
03/2020,"Pinell de Brai, el",casos confirmats,,0
03/2020,Pinell de Solsonès,casos confirmats,..,null
03/2020,Pinós,casos confirmats,,0
03/2020,Pira,casos confirmats,..,null
03/2020,"Pla de Santa Maria, el",casos confirmats,..,null
03/2020,"Pla del Penedès, el",casos confirmats,..,null
03/2020,"Planes d'Hostoles, les",casos confirmats,,4
03/2020,Planoles,casos confirmats,..,null
03/2020,"Plans de Sió, els",casos confirmats,,0
03/2020,"Poal, el",casos confirmats,..,null
03/2020,"Pobla de Claramunt, la",casos confirmats,,14
03/2020,"Pobla de Lillet, la",casos confirmats,..,null
03/2020,"Pobla de Mafumet, la",casos confirmats,..,null
03/2020,"Pobla de Massaluca, la",casos confirmats,..,null
03/2020,"Pobla de Montornès, la",casos confirmats,..,null
03/2020,"Pobla de Segur, la",casos confirmats,,43
03/2020,Poboleda,casos confirmats,,0
03/2020,Polinyà,casos confirmats,,27
03/2020,"Pont d'Armentera, el",casos confirmats,..,null
03/2020,Pont de Molins,casos confirmats,..,null
03/2020,"Pont de Suert, el",casos confirmats,..,null
03/2020,"Pont de Vilomara i Rocafort, el",casos confirmats,,23
03/2020,Pontons,casos confirmats,,0
03/2020,Pontós,casos confirmats,,0
03/2020,Ponts,casos confirmats,,4
03/2020,Porqueres,casos confirmats,,10
03/2020,Porrera,casos confirmats,..,null
03/2020,"Port de la Selva, el",casos confirmats,..,null
03/2020,Portbou,casos confirmats,,0
03/2020,"Portella, la",casos confirmats,,0
03/2020,Prades,casos confirmats,,0
03/2020,"Prat de Llobregat, el",casos confirmats,,427
03/2020,Pratdip,casos confirmats,,0
03/2020,Prats de Lluçanès,casos confirmats,..,null
03/2020,"Prats de Rei, els",casos confirmats,..,null
03/2020,Prats i Sansor,casos confirmats,,0
03/2020,Preixana,casos confirmats,,0
03/2020,Preixens,casos confirmats,,0
03/2020,Premià de Dalt,casos confirmats,,29
03/2020,Premià de Mar,casos confirmats,,88
03/2020,"Preses, les",casos confirmats,,8
03/2020,Prullans,casos confirmats,,0
03/2020,Puigcerdà,casos confirmats,,17
03/2020,Puigdàlber,casos confirmats,..,null
03/2020,Puiggròs,casos confirmats,..,null
03/2020,Puigpelat,casos confirmats,,0
03/2020,Puig-reig,casos confirmats,,19
03/2020,Puigverd d'Agramunt,casos confirmats,,0
03/2020,Puigverd de Lleida,casos confirmats,..,null
03/2020,Pujalt,casos confirmats,,0
03/2020,Quart,casos confirmats,,6
03/2020,Querol,casos confirmats,,0
03/2020,Rabós,casos confirmats,..,null
03/2020,Rajadell,casos confirmats,..,null
03/2020,"Ràpita, la",casos confirmats,,6
03/2020,Rasquera,casos confirmats,,0
03/2020,Regencós,casos confirmats,..,null
03/2020,Rellinars,casos confirmats,,0
03/2020,Reus,casos confirmats,,85
03/2020,Rialp,casos confirmats,,0
03/2020,"Riba, la",casos confirmats,,0
03/2020,Riba-roja d'Ebre,casos confirmats,,0
03/2020,Ribera d'Ondara,casos confirmats,..,null
03/2020,Ribera d'Urgellet,casos confirmats,..,null
03/2020,Ribes de Freser,casos confirmats,,4
03/2020,Riells i Viabrea,casos confirmats,,10
03/2020,"Riera de Gaià, la",casos confirmats,..,null
03/2020,Riner,casos confirmats,..,null
03/2020,Ripoll,casos confirmats,,35
03/2020,Ripollet,casos confirmats,,130
03/2020,Riudarenes,casos confirmats,,5
03/2020,Riudaura,casos confirmats,..,null
03/2020,Riudecanyes,casos confirmats,,0
03/2020,Riudecols,casos confirmats,,0
03/2020,Riudellots de la Selva,casos confirmats,..,null
03/2020,Riudoms,casos confirmats,,5
03/2020,Riumors,casos confirmats,,0
03/2020,"Roca del Vallès, la",casos confirmats,,25
03/2020,Rocafort de Queralt,casos confirmats,,0
03/2020,Roda de Berà,casos confirmats,,10
03/2020,Roda de Ter,casos confirmats,,19
03/2020,Rodonyà,casos confirmats,..,null
03/2020,Roquetes,casos confirmats,,11
03/2020,Roses,casos confirmats,,13
03/2020,Rosselló,casos confirmats,,6
03/2020,"Rourell, el",casos confirmats,,0
03/2020,Rubí,casos confirmats,,279
03/2020,Rubió,casos confirmats,,0
03/2020,Rupià,casos confirmats,..,null
03/2020,Rupit i Pruit,casos confirmats,..,null
03/2020,Sabadell,casos confirmats,,1148
03/2020,Salàs de Pallars,casos confirmats,..,null
03/2020,Saldes,casos confirmats,..,null
03/2020,Sallent,casos confirmats,,38
03/2020,Salomó,casos confirmats,..,null
03/2020,Salou,casos confirmats,,28
03/2020,Salt,casos confirmats,,90
03/2020,Sanaüja,casos confirmats,..,null
03/2020,Sant Adrià de Besòs,casos confirmats,,186
03/2020,Sant Andreu de la Barca,casos confirmats,,87
03/2020,Sant Andreu de Llavaneres,casos confirmats,,32
03/2020,Sant Aniol de Finestres,casos confirmats,,0
03/2020,Sant Antoni de Vilamajor,casos confirmats,,18
03/2020,Sant Bartomeu del Grau,casos confirmats,..,null
03/2020,Sant Boi de Llobregat,casos confirmats,,550
03/2020,Sant Boi de Lluçanès,casos confirmats,..,null
03/2020,Sant Cebrià de Vallalta,casos confirmats,..,null
03/2020,Sant Celoni,casos confirmats,,47
03/2020,Sant Climent de Llobregat,casos confirmats,,28
03/2020,Sant Climent Sescebes,casos confirmats,..,null
03/2020,Sant Cugat del Vallès,casos confirmats,,262
03/2020,Sant Cugat Sesgarrigues,casos confirmats,..,null
03/2020,Sant Esteve de Palautordera,casos confirmats,,6
03/2020,Sant Esteve Sesrovires,casos confirmats,,31
03/2020,Sant Feliu de Buixalleu,casos confirmats,..,null
03/2020,Sant Feliu de Codines,casos confirmats,,12
03/2020,Sant Feliu de Guíxols,casos confirmats,,30
03/2020,Sant Feliu de Llobregat,casos confirmats,,111
03/2020,Sant Feliu de Pallerols,casos confirmats,..,null
03/2020,Sant Feliu Sasserra,casos confirmats,,0
03/2020,Sant Ferriol,casos confirmats,,0
03/2020,Sant Fost de Campsentelles,casos confirmats,,42
03/2020,Sant Fruitós de Bages,casos confirmats,,55
03/2020,Sant Gregori,casos confirmats,,9
03/2020,Sant Guim de Freixenet,casos confirmats,,6
03/2020,Sant Hilari Sacalm,casos confirmats,,54
03/2020,Sant Hipòlit de Voltregà,casos confirmats,,24
03/2020,Sant Iscle de Vallalta,casos confirmats,..,null
03/2020,Sant Jaume d'Enveja,casos confirmats,..,null
03/2020,Sant Jaume de Llierca,casos confirmats,..,null
03/2020,Sant Jaume dels Domenys,casos confirmats,..,null
03/2020,Sant Joan de les Abadesses,casos confirmats,,8
03/2020,Sant Joan de Mollet,casos confirmats,..,null
03/2020,Sant Joan de Vilatorrada,casos confirmats,,90
03/2020,Sant Joan Despí,casos confirmats,,101
03/2020,Sant Joan les Fonts,casos confirmats,,8
03/2020,Sant Jordi Desvalls,casos confirmats,,5
03/2020,Sant Julià de Cerdanyola,casos confirmats,,0
