Codi,Nom,Població en situació d'atur (1),Població en situació d'atur de llarga durada (2),Població en situació d'atur de molt llarga durada (3)
1,Alt Camp,000010,"5,6",00003
2,Alt Empordà,00009,"4,8","2,3"
3,Alt Penedès,"0,2","4,6","0,2"
4,Alt Urgell,"0,2","3,8","1,7"
5,Alta Ribagorça,"5,5","1,8","0,5"
6,Anoia,"0,2","5,9","0,2"
39,Aran,"5,5","1,3","0,4"
7,Bages,"9,4","5,6","0,2"
8,Baix Camp,"10,4","5,7","2,8"
9,Baix Ebre,"9,5","0,2","2,8"
10,Baix Empordà,"7,8","4,1",00002
11,Baix Llobregat,00008,"4,6","0,2"
12,Baix Penedès,"0,2","6,9","3,6"
13,Barcelonès,"8,3","4,7","0,2"
14,Berguedà,"0,2","4,8","2,8"
15,Cerdanya,"4,8","1,9","0,7"
16,Conca de Barberà,"7,1","3,6","1,8"
17,Garraf,"9,1","5,3","2,7"
18,Garrigues,00007,"3,8",00002
19,Garrotxa,"0,2","0,2","1,6"
20,Gironès,"0,2","4,4","0,2"
21,Maresme,00009,"5,4","2,8"
42,Moianès,"6,5","3,4","1,6"
22,Montsià,"9,8","5,3","2,9"
23,Noguera,"8,5","4,4","2,3"
24,Osona,"7,6","4,3","2,3"
25,Pallars Jussà,"8,1",00004,"2,1"
26,Pallars Sobirà,"6,3","2,3","0,9"
27,Pla d'Urgell,"7,4","3,5","1,8"
28,Pla de l'Estany,"5,7","2,9","1,4"
29,Priorat,"7,5","0,2","2,4"
30,Ribera d'Ebre,"8,8","4,4","2,4"
31,Ripollès,"6,6","3,4","1,7"
32,Segarra,"5,8","2,9","1,5"
33,Segrià,"0,2","4,5","2,3"
34,Selva,"9,3","5,3","2,6"
35,Solsonès,"6,5","3,4","1,7"
36,Tarragonès,"9,6","5,1","2,4"
37,Terra Alta,"6,5","3,7","0,2"
38,Urgell,"7,9","0,2","0,2"
40,Vallès Occidental,"8,9","5,3","2,8"
41,Vallès Oriental,"8,6",00005,"2,7"
,Catalunya,"8,6","4,9","2,4"
,,,,

