Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Tipo de dato;Periodo;Total
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;25/4/2021;6,67
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;21/4/2021;20,64
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;18/4/2021;12,85
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;14/4/2021;22,37
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;11/4/2021;11,36
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;7/4/2021;22,03
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;4/4/2021;13,86
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;31/3/2021;20,92
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;28/3/2021;12,77
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;24/3/2021;22,53
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;21/3/2021;14,62
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;17/3/2021;23,34
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;14/3/2021;13,11
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;10/3/2021;22,09
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;7/3/2021;11,15
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;3/3/2021;21,91
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;28/2/2021;12,09
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;24/2/2021;21,39
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;21/2/2021;10,82
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;17/2/2021;21,20
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;14/2/2021;10,30
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;10/2/2021;20,48
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;7/2/2021;9,50
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;3/2/2021;20,93
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;31/1/2021;9,85
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;27/1/2021;20,69
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;24/1/2021;9,56
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;20/1/2021;20,40
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;17/1/2021;9,37
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;13/1/2021;17,85
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;10/1/2021;7,89
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;6/1/2021;12,17
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;3/1/2021;10,05
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;30/12/2020;19,54
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;27/12/2020;12,38
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;23/12/2020;21,80
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;20/12/2020;13,23
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;16/12/2020;23,75
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;13/12/2020;12,04
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;9/12/2020;22,59
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;6/12/2020;11,72
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;2/12/2020;23,75
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;29/11/2020;11,89
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;25/11/2020;23,49
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;22/11/2020;10,62
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;18/11/2020;23,02
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;15/11/2020;10,09
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;11/11/2020;21,82
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;8/11/2020;9,72
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;4/11/2020;22,43
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;1/11/2020;10,27
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;28/10/2020;23,30
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;25/10/2020;14,15
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;21/10/2020;23,69
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;18/10/2020;14,15
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;14/10/2020;25,30
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;11/10/2020;16,44
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;7/10/2020;25,35
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;4/10/2020;16,53
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;30/9/2020;18,44
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;27/9/2020;12,92
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;23/9/2020;26,24
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;20/9/2020;16,75
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;16/9/2020;26,00
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;13/9/2020;15,47
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;9/9/2020;23,93
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;6/9/2020;16,13
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;2/9/2020;22,41
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;30/8/2020;14,18
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;26/8/2020;20,33
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;23/8/2020;11,42
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;19/8/2020;19,11
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;16/8/2020;13,85
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;12/8/2020;19,34
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;9/8/2020;14,63
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;5/8/2020;20,78
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;2/8/2020;15,47
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;29/7/2020;23,83
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;26/7/2020;16,08
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;22/7/2020;23,96
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;19/7/2020;15,92
