Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Tipo de dato;Periodo;Total
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;2/6/2021;15,26
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;30/5/2021;10,38
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;26/5/2021;13,39
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;23/5/2021;9,79
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;19/5/2021;15,04
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;16/5/2021;12,86
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;12/5/2021;13,24
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;9/5/2021;12,81
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;5/5/2021;15,04
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;2/5/2021;7,34
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;28/4/2021;13,90
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;25/4/2021;6,77
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;21/4/2021;13,19
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;18/4/2021;8,68
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;14/4/2021;14,53
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;11/4/2021;7,81
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;7/4/2021;14,57
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;4/4/2021;14,12
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;31/3/2021;16,11
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;28/3/2021;10,72
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;24/3/2021;15,17
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;21/3/2021;12,40
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;17/3/2021;15,72
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;14/3/2021;9,17
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;10/3/2021;14,78
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;7/3/2021;7,89
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;3/3/2021;14,69
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;28/2/2021;8,46
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;24/2/2021;14,55
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;21/2/2021;7,61
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;17/2/2021;14,51
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;14/2/2021;7,28
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;10/2/2021;14,26
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;7/2/2021;5,47
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;3/2/2021;14,16
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;31/1/2021;6,06
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;27/1/2021;13,79
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;24/1/2021;5,72
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;20/1/2021;13,48
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;17/1/2021;5,55
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;13/1/2021;12,30
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;10/1/2021;4,78
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;6/1/2021;8,66
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;3/1/2021;7,85
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;30/12/2020;13,89
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;27/12/2020;8,80
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;23/12/2020;14,80
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;20/12/2020;8,18
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;16/12/2020;16,43
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;13/12/2020;7,12
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;9/12/2020;16,49
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;6/12/2020;7,31
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;2/12/2020;16,67
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;29/11/2020;7,07
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;25/11/2020;16,30
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;22/11/2020;6,55
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;18/11/2020;16,00
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;15/11/2020;6,28
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;11/11/2020;15,25
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;8/11/2020;5,91
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;4/11/2020;15,46
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;1/11/2020;6,12
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;28/10/2020;16,01
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;25/10/2020;12,19
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;21/10/2020;16,09
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;18/10/2020;12,35
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;14/10/2020;17,14
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;11/10/2020;14,91
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;7/10/2020;17,55
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;4/10/2020;14,77
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;30/9/2020;15,98
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;27/9/2020;12,94
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;23/9/2020;18,28
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;20/9/2020;15,19
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;16/9/2020;18,72
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;13/9/2020;16,93
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;9/9/2020;17,88
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;6/9/2020;15,65
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;2/9/2020;16,96
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;30/8/2020;15,17
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;26/8/2020;18,76
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;23/8/2020;13,61
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;19/8/2020;18,44
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;16/8/2020;15,86
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;12/8/2020;18,57
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;9/8/2020;15,80
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;5/8/2020;18,78
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;2/8/2020;15,85
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;29/7/2020;18,99
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;26/7/2020;16,15
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;22/7/2020;19,00
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;19/7/2020;16,17
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;15/7/2020;19,10
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;12/7/2020;16,68
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;8/7/2020;19,41
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;5/7/2020;17,19
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;1/7/2020;19,15
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;28/6/2020;17,00
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;24/6/2020;15,11
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;20/6/2020;16,52
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;19/6/2020;17,63
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;18/6/2020;16,68
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;17/6/2020;17,11
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;16/6/2020;16,39
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;15/6/2020;16,59
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;14/6/2020;14,56
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;13/6/2020;14,69
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;12/6/2020;16,00
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;11/6/2020;16,38
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;10/6/2020;16,34
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;9/6/2020;14,01
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;8/6/2020;13,93
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;7/6/2020;10,95
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;6/6/2020;14,60
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;5/6/2020;15,92
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;4/6/2020;15,03
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;3/6/2020;15,60
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;2/6/2020;15,18
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;1/6/2020;13,97
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;31/5/2020;11,45
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;30/5/2020;12,80
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;29/5/2020;15,10
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;28/5/2020;15,02
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;27/5/2020;14,87
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;26/5/2020;14,45
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;25/5/2020;13,90
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;24/5/2020;10,24
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;23/5/2020;12,17
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;22/5/2020;14,33
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;21/5/2020;14,32
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;20/5/2020;14,12
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;19/5/2020;14,17
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;18/5/2020;12,86
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;17/5/2020;5,76
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;16/5/2020;7,76
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;15/5/2020;11,55
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;14/5/2020;12,17
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;13/5/2020;12,20
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;12/5/2020;12,17
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;11/5/2020;11,13
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;10/5/2020;5,12
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;9/5/2020;6,42
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;8/5/2020;11,53
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;7/5/2020;11,42
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;6/5/2020;11,31
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;5/5/2020;11,73
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;4/5/2020;10,88
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;3/5/2020;5,59
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;2/5/2020;6,30
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;1/5/2020;5,89
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;30/4/2020;10,09
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;29/4/2020;10,00
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;28/4/2020;9,81
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;27/4/2020;9,41
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;26/4/2020;4,64
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;25/4/2020;6,38
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;24/4/2020;9,67
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;23/4/2020;9,47
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;22/4/2020;9,89
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;21/4/2020;9,02
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;20/4/2020;8,99
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;19/4/2020;4,37
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;18/4/2020;6,19
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;17/4/2020;9,35
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;16/4/2020;9,83
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;15/4/2020;9,22
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;14/4/2020;8,65
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;13/4/2020;4,37
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;12/4/2020;4,44
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;11/4/2020;5,19
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;10/4/2020;5,01
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;9/4/2020;7,38
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;8/4/2020;7,61
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;7/4/2020;7,56
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;6/4/2020;7,00
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;5/4/2020;4,20
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;4/4/2020;5,55
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;3/4/2020;7,83
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;2/4/2020;7,14
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;1/4/2020;6,98
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;31/3/2020;7,24
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;30/3/2020;7,29
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;28/3/2020;5,92
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;26/3/2020;8,79
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;24/3/2020;8,89
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;22/3/2020;4,16
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;20/3/2020;9,51
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;18/3/2020;10,11
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;16/3/2020;10,91
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;18/11/2019;25,56
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;29/12/2021;12,58
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;26/12/2021;8,40
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;22/12/2021;14,02
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;19/12/2021;9,57
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;15/12/2021;15,03
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;12/12/2021;9,99
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;8/12/2021;10,79
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;1/12/2021;15,61
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;28/11/2021;9,72
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;24/11/2021;14,23
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;21/11/2021;9,82
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;17/11/2021;14,99
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;14/11/2021;10,24
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;10/11/2021;14,54
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;7/11/2021;10,19
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;3/11/2021;11,94
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;31/10/2021;10,76
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;27/10/2021;14,68
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;24/10/2021;10,72
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;20/10/2021;14,84
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;17/10/2021;10,63
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;13/10/2021;14,13
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;10/10/2021;11,47
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;6/10/2021;15,20
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;3/10/2021;8,96
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;29/9/2021;14,49
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;26/9/2021;11,30
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;22/9/2021;14,99
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;19/9/2021;10,49
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;15/9/2021;15,08
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;12/9/2021;10,38
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;8/9/2021;13,86
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;5/9/2021;10,49
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;1/9/2021;13,26
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;29/8/2021;10,28
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;25/8/2021;13,38
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;22/8/2021;10,37
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;18/8/2021;13,38
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;15/8/2021;10,11
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;11/8/2021;13,41
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;8/8/2021;10,31
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;4/8/2021;13,06
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;1/8/2021;10,25
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;28/7/2021;14,13
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;25/7/2021;10,29
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;21/7/2021;14,22
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;18/7/2021;9,49
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;14/7/2021;14,29
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;11/7/2021;10,36
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;7/7/2021;14,19
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;4/7/2021;10,21
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;30/6/2021;14,48
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;27/6/2021;10,95
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;23/6/2021;10,96
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;20/6/2021;9,60
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;16/6/2021;15,26
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;13/6/2021;10,98
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;9/6/2021;14,97
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;6/6/2021;10,36
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;2/6/2021;14,83
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;30/5/2021;8,71
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;26/5/2021;14,15
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;23/5/2021;8,05
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;19/5/2021;15,23
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;16/5/2021;11,01
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;12/5/2021;13,63
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;9/5/2021;10,62
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;5/5/2021;14,81
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;2/5/2021;6,53
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;28/4/2021;14,21
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;25/4/2021;6,19
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;21/4/2021;13,84
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;18/4/2021;8,59
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;14/4/2021;15,23
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;11/4/2021;7,55
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;7/4/2021;15,34
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;4/4/2021;11,80
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;31/3/2021;15,74
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;28/3/2021;9,13
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;24/3/2021;16,00
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;21/3/2021;11,36
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;17/3/2021;16,57
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;14/3/2021;9,50
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;10/3/2021;15,84
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;7/3/2021;8,86
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;3/3/2021;15,96
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;28/2/2021;8,49
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;24/2/2021;15,93
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;21/2/2021;8,16
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;17/2/2021;15,79
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;14/2/2021;8,29
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;10/2/2021;15,13
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;7/2/2021;7,38
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;3/2/2021;15,48
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;31/1/2021;6,93
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;27/1/2021;15,19
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;24/1/2021;6,72
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;20/1/2021;14,80
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;17/1/2021;6,58
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;13/1/2021;13,22
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;10/1/2021;5,75
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;6/1/2021;9,39
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;3/1/2021;8,50
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;30/12/2020;16,23
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;27/12/2020;10,34
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;23/12/2020;17,50
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;20/12/2020;9,53
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;16/12/2020;19,30
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;13/12/2020;9,25
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;9/12/2020;18,19
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;6/12/2020;9,00
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;2/12/2020;18,90
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;29/11/2020;8,80
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;25/11/2020;18,54
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;22/11/2020;8,51
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;18/11/2020;18,73
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;15/11/2020;7,84
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;11/11/2020;17,43
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;8/11/2020;7,25
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;4/11/2020;17,34
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;1/11/2020;8,26
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;28/10/2020;18,47
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;25/10/2020;12,41
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;21/10/2020;18,58
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;18/10/2020;12,30
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;14/10/2020;20,02
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;11/10/2020;15,73
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;7/10/2020;20,11
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;4/10/2020;13,83
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;30/9/2020;17,78
Total Nacional;Cataluña;Lleida;;Porcentaje de población que sale del área;27/9/2020;11,56
