PB010	PB020	PB030	PB040	PB040_F	PB100	PB100_F	PB110	PB110_F	PB120	PB120_F	PB130	PB130_F	PB140	PB140_F	PB150	PB150_F	PB160	PB160_F	PB170	PB170_F	PB180	PB180_F	PB190	PB190_F	PB200	PB200_F	PB210	PB210_F	PB220A	PB220A_F	PE010	PE010_F	PE020	PE020_F	PE030	PE030_F	PE040	PE040_F	PL031	PL031_F	PL015	PL015_F	PL020	PL020_F	PL025	PL025_F	PL040	PL040_F	PL051	PL051_F	PL060	PL060_F	PL073	PL073_F	PL074	PL074_F	PL075	PL075_F	PL076	PL076_F	PL080	PL080_F	PL085	PL085_F	PL086	PL086_F	PL087	PL087_F	PL089	PL089_F	PL090	PL090_F	PL100	PL100_F	PL111A	PL111A_F	PL120	PL120_F	PL130	PL130_F	PL140	PL140_F	PL150	PL150_F	PL160	PL160_F	PL170	PL170_F	PL180	PL180_F	PL190	PL190_F	PL200	PL200_F	PL211A	PL211A_F	PL211B	PL211B_F	PL211C	PL211C_F	PL211D	PL211D_F	PL211E	PL211E_F	PL211F	PL211F_F	PL211G	PL211G_F	PL211H	PL211H_F	PL211I	PL211I_F	PL211J	PL211J_F	PL211K	PL211K_F	PL211L	PL211L_F	PH010	PH010_F	PH020	PH020_F	PH030	PH030_F	PH040	PH040_F	PH050	PH050_F	PH060	PH060_F	PH070	PH070_F	PY010N	PY010N_F	PY020N	PY020N_F	PY021N	PY021N_F	PY035N	PY035N_F	PY050N	PY050N_F	PY080N	PY080N_F	PY090N	PY090N_F	PY100N	PY100N_F	PY110N	PY110N_F	PY120N	PY120N_F	PY130N	PY130N_F	PY140N	PY140N_F	PY010G	PY010G_F	PY020G	PY020G_F	PY021G	PY021G_F	PY030G	PY030G_F	PY035G	PY035G_F	PY050G	PY050G_F	PY080G	PY080G_F	PY090G	PY090G_F	PY100G	PY100G_F	PY110G	PY110G_F	PY120G	PY120G_F	PY130G	PY130G_F	PY140G	PY140G_F	P78A_U	P78B_U	PD020	PD020_F	PD030	PD030_F	PD050	PD050_F	PD060	PD060_F	PD070	PD070_F	PD080	PD080_F	PW010T	PW010T_F	PW030T	PW030T_F	PW040T	PW040T_F	PW050T	PW050T_F	PW060T	PW060T_F	PW070T	PW070T_F	PW080T	PW080T_F	PW090T	PW090T_F	PW100T	PW100T_F	PW110T	PW110T_F	PW120T	PW120T_F	PW160T	PW160T_F	PW190T	PW190T_F	PW230T	PW230T_F	PW240T	PW240T_F	PHD01T	PHD01T_F	PHD02T	PHD02T_F	PHD03T	PHD03T_F	PHD04T	PHD04T_F	PHD05T	PHD05T_F
2018	ES	1109201	42184778	1	11	01	2018	01	8	01	11	01	1958	01	2	01		96		96		96	5	01	3	01	1	01	1	01	2	01		96	1981	01	500	01	02	01		96		96		96	3	01	22	01	15	01	0	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	15	01	q	01		96	03	01	1	01	2	01	2	01		96		96	23	01	37	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	1	01	2	01	3	01		96		96	2	01		96	534830	110100	0	0	0	0	0	0	540550	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	680030	40100	0	0	0	0	202993	01	0	0	552220	40100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	-2	1	01	1	01	1	01	1	01	1	01	1	01	08	01	05	01	1	01	5	01	4	01	2	01	4	01	3	01	09	01	1	01	09	01	09	01	08	01	5	01	00	01	5	01		96		96		96		96
2018	ES	1109301	40074423	1	11	01	2018	01	6	01	02	01	1956	01	2	01		96		96		96	4	01	3	01	1	01	1	01	2	01		96	1967	01	100	01	10	01	1	01	2	01		96	3	01	91	01		96	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	12	01	0	01		96		96		96		96	2	01	2	01		96		96		96	11	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	2	01	1	01	2	01	2	01		96	1	01	1	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	987870	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	0	0	987870	40100	0	0	0	0	0	0	03	01	3	01	1	01	3	01	3	01	2	01	1	01	00	01	00	01	2	01	1	01	2	01	5	01	2	01	5	01		96	2	01	10	01	10	01	01	01	5	01	00	01	5	01		96		96		96		96
2018	ES	1109302	42059218	1	11	01	2018	01	7	01	07	01	1994	01	2	01		96	1109301	01		96	1	01	3	01	1	01	1	01	1	01	50	01	2014	01	500	01	06	01	1	01	2	01		96	3	01	42	01		96	0	01	0	01	0	01	0	01	0	01	0	01	0	01	12	01	0	01	0	01		96		96		96		96	2	01	2	01		96		96		96	18	01	2	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	1	01	1	01	3	01	2	01		96	2	01		96	331460	110100	0	0	0	0	0	0	0	0	0	0	145670	110100	0	0	418320	110100	0	0	0	0	0	0	361580	40100	0	0	0	0	107583	01	0	0	0	0	0	0	145670	40100	0	0	418320	40100	0	0	0	0	0	0	96	-2	1	01	1	01	1	01	1	01	1	01	1	01	07	01	05	01	1	01	2	01	3	01	3	01	4	01	2	01		96	1	01	08	01	09	01	07	01	5	01	00	01	5	01		96		96		96		96
2018	ES	1109401	55892391	1	11	01	2018	01	14	01	02	01	1960	01	1	01		96		96	1109402	01	2	01	1	01	1	01	1	01	2	01		96	1974	01	200	01	01	01		96		96		96	3	01	81	01	40	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	c	01		96	13	01	1	01	1	01	2	01		96		96	17	01	41	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	3	01	1	01	2	01	2	01		96	2	01		96	4381660	110100	52650	110100	0	0	100000	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6239720	40100	65890	40100	0	0	1357830	01	100000	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02	03	1	01	1	01	1	01	1	01	1	01	1	01	09	01	09	01	1	01	2	01	2	01	4	01	2	01	3	01	07	01	1	01	09	01	09	01	07	01	5	01	00	01	5	01		96		96		96		96
2018	ES	1109402	56747258	1	11	01	2018	01	13	01	06	01	1962	01	2	01		96		96	1109401	01	2	01	1	01	1	01	1	01	2	01		96	1978	01	300	01	01	01		96		96		96	3	01	42	01	38	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	q	01		96	13	01	1	01	2	01	2	01		96		96	16	01	40	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	2	01	1	01	3	01		96		96	2	01		96	2084920	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600480	40100	0	0	0	0	587218	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	-2	1	01	1	01	1	01	1	01	1	01	1	01	09	01	09	01	1	01	3	01	3	01	3	01	3	01	1	01	05	01	1	01	06	01	09	01	08	01	3	01	06	01	1	01	9	01	1	01	8	01	1	01
2018	ES	1109403	57691831	1	11	01	2018	01	11	01	12	01	1987	01	1	01	1109401	01	1109402	01		96	1	01	3	01	1	01	1	01	1	01	50	01	2004	01	344	01	06	01	1	01	2	01		96	3	01	81	01		96	0	01	0	01	0	01	0	01	0	01	0	01	0	01	12	01	0	01	0	01		96		96		96		96	1	01	2	01		96		96		96	17	01	8	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	2	01	1	01	2	01	2	01		96		96		96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03	03	1	01	1	01	1	01	1	01	3	01	1	01	05	01	09	01	1	01	3	01	3	01	2	01	3	01	3	01		96	2	01	09	01	08	01	06	01	4	01	09	01	5	01		96		96		96		96
2018	ES	1109601	55459568	1	11	01	2018	01	7	01	10	01	1958	01	1	01		96		96	1109602	01	2	01	1	01	3	01	1	01	2	01		96	1998	01	500	01	01	01		96		96		96	3	01	23	01	38	01	0	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	p	01		96	12	01	1	01	2	01	2	01		96		96	24	01	36	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	02	01	1	01	2	01	3	01	2	01		96	2	01		96	3142480	110100	530	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4188870	40100	640	40100	0	0	830819	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	-2	1	01	1	01	1	01	1	01	3	01	1	01	08	01	08	01	1	01	5	01	5	01	1	01	5	01	1	01	08	01	1	01	08	01	08	01	07	01	5	01	00	01	5	01		96		96		96		96
2018	ES	1109602	56307815	1	11	01	2018	01	7	01	07	01	1961	01	2	01		96		96	1109601	01	2	01	1	01	1	01	1	01	2	01		96	1987	01	500	01	01	01		96		96		96	3	01	23	01	38	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	p	01		96	12	01	1	01	2	01	2	01		96		96	18	01	39	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	1	01	2	01	3	01		96		96	2	01		96	3324960	110100	530	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4522600	40100	650	40100	0	0	1055714	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	-2	1	01	1	01	1	01	1	01	1	01	1	01	07	01	06	01	1	01	3	01	3	01	3	01	5	01	3	01	08	01	1	01	06	01	09	01	08	01	5	01	00	01	5	01		96		96		96		96
2018	ES	1109603	58394181	1	11	01	2018	01	8	01	11	01	1997	01	2	01	1109601	01	1109602	01		96	1	01	3	01	3	01	1	01	1	01	50	01	2015	01	354	01	06	01	2	01	2	01		96		96		96		96	0	01	0	01	0	01	0	01	0	01	0	01	0	01	12	01	0	01	0	01		96		96		96		96		96		96		96		96		96		96		96	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	1	01	2	01	3	01	2	01		96	2	01		96	129130	110100	190	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140990	40100	190	40100	0	0	42488	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	-2	1	01	1	01	1	01	1	01	1	01	1	01	08	01	08	01	1	01	4	01	5	01	2	01	5	01	2	01		96	1	01	09	01	09	01	05	01	5	01	00	01	5	01		96		96		96		96
2018	ES	1109604	56982937	1	11	01	2018	01	7	01	07	01	1999	01	2	01	1109601	01	1109602	01		96	1	01	3	01	3	01	1	01	1	01	20	01	2011	01	100	01	06	01	2	01	2	01		96		96		96		96	0	01	0	01	0	01	0	01	0	01	0	01	0	01	12	01	0	01	0	01		96		96		96		96		96		96		96		96		96		96		96	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	1	01	1	01	2	01	2	01		96	2	01		96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03	01	1	01	1	01	1	01	1	01	1	01	1	01	01	01	06	01	1	01	2	01	2	01	3	01	2	01	3	01		96	1	01	05	01	04	01	04	01	3	01	04	01	5	01		96		96		96		96
