DB010	DB020	DB030	DB040	DB040_F	DB060	DB060_F	DB090	DB090_F	DB100	DB100_F
2018	ES	403	ES51	01	245	01	99986242	1	2	1
2018	ES	404	ES51	01	245	01	163046464	1	2	1
2018	ES	405	ES51	01	245	01	128512592	1	2	1
2018	ES	407	ES51	01	249	01	198918388	1	1	1
2018	ES	408	ES51	01	249	01	159649814	1	1	1
2018	ES	409	ES51	01	249	01	137324937	1	1	1
2018	ES	410	ES51	01	249	01	37526615	1	1	1
2018	ES	411	ES51	01	249	01	146996775	1	1	1
2018	ES	412	ES51	01	249	01	143625054	1	1	1
2018	ES	413	ES51	01	249	01	101619635	1	1	1
2018	ES	414	ES51	01	249	01	113370417	1	1	1
2018	ES	416	ES51	01	249	01	103518062	1	1	1
2018	ES	417	ES51	01	251	01	109742996	1	1	1
2018	ES	418	ES51	01	251	01	133915258	1	1	1
2018	ES	419	ES51	01	251	01	134151132	1	1	1
2018	ES	420	ES51	01	251	01	50285345	1	1	1
2018	ES	421	ES51	01	251	01	72200078	1	1	1
2018	ES	422	ES51	01	257	01	96017248	1	1	1
2018	ES	423	ES51	01	257	01	92930396	1	1	1
2018	ES	424	ES51	01	257	01	95919631	1	1	1
2018	ES	425	ES51	01	257	01	128202078	1	1	1
2018	ES	426	ES51	01	257	01	91331430	1	1	1
2018	ES	428	ES51	01	263	01	151036016	1	1	1
2018	ES	430	ES51	01	263	01	98378351	1	1	1
2018	ES	431	ES51	01	263	01	85146918	1	1	1
2018	ES	432	ES51	01	263	01	180693193	1	1	1
2018	ES	435	ES51	01	268	01	127445753	1	1	1
2018	ES	439	ES51	01	268	01	46053992	1	1	1
2018	ES	440	ES51	01	268	01	107323068	1	1	1
2018	ES	441	ES51	01	268	01	334505522	1	1	1
2018	ES	442	ES51	01	274	01	77880510	1	1	1
2018	ES	443	ES51	01	274	01	189042014	1	1	1
2018	ES	445	ES51	01	274	01	96017248	1	1	1
2018	ES	446	ES51	01	276	01	247217830	1	1	1
2018	ES	448	ES51	01	276	01	79198324	1	1	1
2018	ES	449	ES51	01	276	01	70247428	1	1	1
2018	ES	450	ES51	01	276	01	57856681	1	1	1
2018	ES	451	ES51	01	278	01	29064086	1	1	1
2018	ES	452	ES51	01	278	01	86149083	1	1	1
2018	ES	453	ES51	01	278	01	155911127	1	1	1
2018	ES	455	ES51	01	280	01	84089750	1	1	1
2018	ES	457	ES51	01	280	01	96017248	1	1	1
2018	ES	458	ES51	01	280	01	170699430	1	1	1
2018	ES	460	ES51	01	280	01	248320673	1	1	1
2018	ES	461	ES51	01	281	01	104920193	1	1	1
2018	ES	463	ES51	01	281	01	113186761	1	1	1
2018	ES	466	ES51	01	284	01	208562507	1	1	1
2018	ES	467	ES51	01	284	01	89648773	1	1	1
2018	ES	468	ES51	01	284	01	92685780	1	1	1
2018	ES	469	ES51	01	284	01	125130344	1	1	1
2018	ES	470	ES51	01	284	01	96017248	1	1	1
2018	ES	472	ES51	01	287	01	96574181	1	1	1
2018	ES	473	ES51	01	287	01	238408407	1	1	1
2018	ES	474	ES51	01	287	01	96574181	1	1	1
2018	ES	475	ES51	01	287	01	96017248	1	1	1
2018	ES	476	ES51	01	287	01	95919631	1	1	1
2018	ES	480	ES51	01	288	01	99886016	1	1	1
2018	ES	481	ES51	01	288	01	210833376	1	1	1
2018	ES	482	ES51	01	288	01	113599004	1	1	1
2018	ES	484	ES51	01	288	01	166284996	1	2	1
2018	ES	485	ES51	01	288	01	173586449	1	1	1
2018	ES	486	ES51	01	296	01	55839017	1	1	1
2018	ES	487	ES51	01	296	01	125524298	1	1	1
2018	ES	489	ES51	01	296	01	133561581	1	1	1
2018	ES	490	ES51	01	296	01	72389765	1	1	1
2018	ES	491	ES51	01	296	01	101239121	1	1	1
2018	ES	492	ES51	01	296	01	77640087	1	1	1
2018	ES	494	ES51	01	303	01	125524298	1	1	1
2018	ES	495	ES51	01	303	01	107054903	1	1	1
2018	ES	497	ES51	01	303	01	133796936	1	1	1
2018	ES	499	ES51	01	303	01	113012623	1	1	1
2018	ES	500	ES51	01	307	01	134517670	1	1	1
2018	ES	501	ES51	01	307	01	61219626	1	1	1
2018	ES	504	ES51	01	307	01	95919631	1	1	1
2018	ES	506	ES51	01	312	01	197495123	1	2	1
2018	ES	508	ES51	01	312	01	130843900	1	2	1
2018	ES	509	ES51	01	312	01	211401278	1	2	1
2018	ES	511	ES51	01	312	01	148502974	1	2	1
2018	ES	514	ES51	01	312	01	118098982	1	2	1
2018	ES	515	ES51	01	312	01	146822727	1	2	1
2018	ES	520	ES51	01	318	01	66176317	1	1	1
2018	ES	521	ES51	01	318	01	251894021	1	1	1
2018	ES	523	ES51	01	320	01	149709479	1	1	1
2018	ES	524	ES51	01	320	01	204355520	1	1	1
2018	ES	525	ES51	01	324	01	64586990	1	2	1
2018	ES	526	ES51	01	324	01	141612762	1	2	1
2018	ES	527	ES51	01	324	01	181633134	1	2	1
2018	ES	528	ES51	01	324	01	281874927	1	2	1
