HB010	HB020	HB030	HB050	HB050_F	HB060	HB060_F	HB070	HB070_F	HB080	HB080_F	HB090	HB090_F	HB100	HB100_F	HY020	HY020_F	HY022	HY022_F	HY023	HY023_F	HY030N	HY030N_F	HY040N	HY040N_F	HY050N	HY050N_F	HY060N	HY060N_F	HY070N	HY070N_F	HY080N	HY080N_F	HY081N	HY081N_F	HY090N	HY090N_F	HY100N	HY100N_F	HY110N	HY110N_F	HY120N	HY120N_F	HY130N	HY130N_F	HY131N	HY131N_F	HY145N	HY145N_F	HY170N	HY170N_F	HY010	HY010_F	HY040G	HY040G_F	HY050G	HY050G_F	HY060G	HY060G_F	HY070G	HY070G_F	HY080G	HY080G_F	HY081G	HY081G_F	HY090G	HY090G_F	HY100G	HY100G_F	HY110G	HY110G_F	HY120G	HY120G_F	HY130G	HY130G_F	HY131G	HY131G_F	HY140G	HY140G_F	HS011	HS011_F	HS021	HS021_F	HS031	HS031_F	HS040	HS040_F	HS050	HS050_F	HS060	HS060_F	HS070	HS070_F	HS080	HS080_F	HS090	HS090_F	HS100	HS100_F	HS110	HS110_F	HS120	HS120_F	HS130	HS130_F	HS140	HS140_F	HS150	HS150_F	HS160	HS160_F	HS170	HS170_F	HS180	HS180_F	HS190	HS190_F	HH010	HH010_F	HH021	HH021_F	HH030	HH030_F	HH031	HH031_F	HH040	HH040_F	HH050	HH050_F	HH060	HH060_F	HH061	HH061_F	HH070	HH070_F	HH081	HH081_F	HH091	HH091_F	H39A_U	H39B_U	H38A_U	CUOTAHIP	CUOTAHIP_F	HX040	HX060	HX240	VHRENTAA	VHRENTAAIA	VHPOBREZA	POBRECAT	VHMATDEP	HD080	HD080_F
2018	ES	14697	10	01	2018	01	1469702	01	1469701	01	1469702	01	16	01	1807740	10100	1792740	10100	1792740	10100	425697	01	0	0	0	0	0	0	15000	110100	0	0	0	0	0	0	120000	110100	240000	110100	0	0	40000	110100	0	0	-14860	110100	0	0	1945100	20100	0	0	0	0	0	0	15000	10100	0	0	0	0	0	0	120000	10100	240000	40100	0	0	40000	10100	0	0	97360	1100	2	01	3	01		96	1	01	1	01	2	01	1	01	1	01	1	01	1	01	1	01	1	01	150000	01	1	01		96	2	01	1	01	2	01	2	01	3	01	2	01	3	01	2006	01	1	01	2	01		96	35000	01	22709	01	1	01	1	01	06	06	06	400	01	5	13	2.4	1807740	2113437	1	1	0	2	01
2018	ES	14698	10	01	2018	01	1469801	01	1469801	01	1469802	01	15	01	3103400	10100	3103400	10100	3103400	10100	556579	01	0	0	0	0	0	0	0	0	0	0	0	0	15570	110100	300000	110100	0	0	60000	110100	0	0	0	0	-61280	110100	0	0	3747380	20100	0	0	0	0	0	0	0	0	0	0	0	0	19900	40100	300000	10100	0	0	60000	10100	0	0	0	0	583980	1100	3	01	3	01	3	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	4	01	200000	01	2	01		96	2	01	2	01	2	01	2	01	4	01	2	01	4	01	2012	01	2	01	1	01		96	60000	01	42996	01	1	01	1	01	96	96	96	500	01	2	08	1.5	3103400	3359979	0	0	0	1	01
2018	ES	14699	10	01	2018	01	1469901	01	1469901	01		96	13	01	2353560	10100	2353560	10100	1473890	10100	554779	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18481	110100	0	0	0	0	0	0	0	0	163980	110100	0	0	2816280	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18481	10100	0	0	0	0	0	0	0	0	462720	1100	3	01	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	5	01	150000	01	3	01		96	2	01	2	01	2	01	2	01	4	01	2	01	6	01	1999	01	2	01	1	01		96	60000	01	34404	01	1	01	1	01	96	96	96	350	01	1	06	1	2353560	2889858	0	0	0	1	01
2018	ES	14700	10	01	2018	01	1470001	01	1470001	01		96	13	01	960780	12070	813180	12064	291410	12000	480979	01	0	0	0	0	0	0	147600	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	992363	32068	0	0	0	0	0	0	147600	10100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31583	1013	3	01	3	01		96	2	01	2	01	2	01	1	01	1	01	3	01	1	01	3	01	1	01	100000	01	1	01		96	2	01	2	01	2	01	2	01	4	01	1	01	5	01	1998	01	2	01	2	01		96	40000	01	24059	01	1	01	1	01	06	01	06		96	2	07	1.5	960780	1441759	1	1	1	2	01
2018	ES	14703	10	01	2018	01	1470302	01	1470301	01	1470302	01	10	01	3390480	10100	19100	10100	19100	10100	499036	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-19100	110100	0	0	3390370	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-110	1100	3	01	3	01		96	2	01	1	01	2	01	1	01	1	01	2	01	1	01	3	01	2	01	300000	01	1	01		96	2	01	1	01	2	01	2	01	3	01	2	01	5	01	1992	01	2	01	2	01		96	50000	01	26948	01	1	01	1	01	06	06	06	250	01	2	08	1.5	3390480	3889516	0	0	0	2	01
2018	ES	14704	10	01	2018	01	1470401	01	1470401	01		96	11	01	1563420	10100	1563420	10100	1563420	10100	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1693040	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129620	1100		96		96		96	2	01	2	01	2	01	1	01	1	01	3	01	2	01	3	01	2	01	150000	01	3	01		96	1	01	2	01	2	01	2	01	1	01	5	01	2	01	2002	01	1	01	2	01		96	15000	01	2377	01	1	01	1	01	06	06	06		96	1	02	1	1563420	1998260	0	0	1	2	01
2018	ES	14706	10	01	2018	01	1470601	01	1470601	01		96	3	01	1459020	10100	1459020	10100	1459020	10100	577880	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402000	110100	0	0	0	0	0	0	0	0	-17050	110100	0	0	1641970	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402000	10100	0	0	0	0	0	0	0	0	182950	1100	3	01	3	01		96	2	01	1	01	2	01	1	01	1	01	1	01	1	01	1	01	2	01	210000	01	1	01		96	2	01	1	01	2	01	2	01	2	01	2	01	6	01	2008	01	2	01	2	01		96	60000	01	60556	01	1	01	1	01	06	06	06	568	01	2	10	1.3	1459020	1634900	0	0	0	2	01
2018	ES	14707	10	01	2018	01	1470701	01	1470701	01	1470702	01	20	01	6551340	10100	6551340	10100	6551340	10100	632840	01	394680	110100	0	0	0	0	0	0	0	0	0	0	1014150	110100	0	0	0	0	200000	110100	0	0	0	0	175740	110100	0	0	8534000	20100	394680	40100	0	0	0	0	0	0	0	0	0	0	1253370	40100	0	0	0	0	200000	10100	0	0	0	0	1782660	1100		96	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	400000	01	2	01		96	2	01	1	01	1	01	2	01	2	01	1	01	6	01	1996	01	1	01	1	01		96	70000	01	36335	01	1	01	1	01	06	06	96		96	5	13	2.8	6551340	7184180	0	0	0	1	01
2018	ES	14708	11	01	2018	01	1470801	01	1470801	01		96	5	01	1238780	10100	1238780	10100	0	0	600063	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1238780	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		96	3	01		96	1	01	1	01	1	01	1	01	1	01	3	01	1	01	1	01	5	01	86000	01	2	01		96	2	01	1	01	2	01	1	01	4	01	1	01	5	01	1992	01	1	01	1	01		96	40000	01	18458	01	1	01	1	01	96	96	96		96	1	06	1	1238780	1838843	0	0	0	1	01
2018	ES	14709	11	01	2018	01	1470901	01	1470901	01	1470902	01	9	01	2457630	10100	2457630	10100	597280	10100	684541	01	535940	110100	0	0	0	0	0	0	0	0	0	0	49370	110100	0	0	0	0	0	0	0	0	0	0	-11970	110100	0	0	2457630	20100	535940	40100	0	0	0	0	0	0	0	0	0	0	61340	40100	0	0	0	0	0	0	0	0	0	0	0	0		96	3	01		96	1	01	1	01	2	01	1	01	1	01	3	01	1	01	1	01	1	01	100000	01	1	01		96	2	01	2	01	2	01	2	01	4	01	1	01	4	01	2014	01	2	01	1	01		96	50000	01	14406	01	1	01	1	01	06	06	96		96	2	07	1.5	2457630	3142171	0	0	0	2	01
