RB010	RB020	RB030	RB050	RB050_F	RB070	RB070_F	RB080	RB080_F	RB090	RB090_F	RB200	RB200_F	RB210	RB210_F	RB220	RB220_F	RB230	RB230_F	RB240	RB240_F	RL010	RL010_F	RL020	RL020_F	RL030	RL030_F	RL040	RL040_F	RL050	RL050_F	RL060	RL060_F	RL070	RL070_F	VRLOWJOB	VREU2020	AROPE
2018	ES	53304	95577266	01	07	01	2017	01	2	01	1	01	4	01	53301	01	53302	01		96	10	01		96	0	01	0	01	0	01	0	01	108350050	01	00	0	0
2018	ES	53401	102444944	01	03	01	1933	01	1	01	1	01	3	01		96		96	53402	01		96		96		96		96		96		96		96	96	0	0
2018	ES	53402	102444944	01	04	01	1937	01	2	01	1	01	3	01		96		96	53401	01		96		96		96		96		96		96		96	96	0	0
2018	ES	53501	111635422	01	04	01	1981	01	1	01	1	01	1	01		96		96	53502	01		96		96		96		96		96		96		96	00	0	0
2018	ES	53502	111635422	01	01	01	1981	01	2	01	1	01	1	01		96		96	53501	01		96		96		96		96		96		96		96	00	0	0
2018	ES	53503	111635422	01	03	01	2012	01	2	01	1	01	4	01	53501	01	53502	01		96		96	25	01	0	01	0	01	0	01	0	01	103819642	01	00	0	0
2018	ES	53504	111635422	01	05	01	2015	01	1	01	1	01	4	01	53501	01	53502	01		96	25	01		96	0	01	0	01	0	01	0	01	113627277	01	00	0	0
2018	ES	53601	102444944	01	10	01	1932	01	2	01	1	01	3	01		96		96	53602	01		96		96		96		96		96		96		96	96	0	0
2018	ES	53602	102444944	01	06	01	1934	01	1	01	1	01	3	01		96		96	53601	01		96		96		96		96		96		96		96	96	0	0
2018	ES	53701	106380396	01	11	01	1970	01	2	01	2	01	2	01		96		96	53702	01		96		96		96		96		96		96		96	00	1	1
2018	ES	53702	106380396	01	11	01	1975	01	1	01	2	01	2	01		96		96	53701	01		96		96		96		96		96		96		96	00	1	1
2018	ES	53703	106380396	01	06	01	1985	01	1	01	1	01	2	01		96	53701	01	53706	01		96		96		96		96		96		96		96	00	1	1
2018	ES	53704	106380396	01	03	01	1987	01	2	01	2	01	2	01		96	53701	01		96		96		96		96		96		96		96		96	00	1	1
2018	ES	53705	106380396	01	04	01	2006	01	1	01	2	01	4	01		96	53704	01		96		96	40	01	0	01	0	01	0	01	0	01	114127534	01	00	1	1
2018	ES	53706	106380396	01	06	01	1988	01	2	01	1	01	4	01		96		96	53703	01		96		96		96		96		96		96		96	00	1	1
2018	ES	53901	67916563	01	05	01	1966	01	2	01	1	01	4	01		96		96	53902	01		96		96		96		96		96		96		96	01	1	1
2018	ES	53902	67916563	01	10	01	1941	01	1	01	2	01	3	01		96		96	53901	01		96		96		96		96		96		96		96	96	1	1
2018	ES	54001	103518062	01	04	01	1937	01	1	01	1	01	3	01		96		96	54002	01		96		96		96		96		96		96		96	96	0	0
2018	ES	54002	103518062	01	07	01	1937	01	2	01	1	01	4	01		96		96	54001	01		96		96		96		96		96		96		96	96	0	0
2018	ES	54101	256994900	01	07	01	1954	01	2	01	1	01	1	01		96		96		96		96		96		96		96		96		96		96	96	0	0
2018	ES	54301	53912424	01	01	01	1970	01	1	01	1	01	2	01		96		96	54302	01		96		96		96		96		96		96		96	01	1	1
2018	ES	54302	53912424	01	09	01	1978	01	2	01	1	01	2	01		96		96	54301	01		96		96		96		96		96		96		96	01	1	1
2018	ES	54303	53912424	01	06	01	2000	01	1	01	1	01	4	01	54301	01	54302	01		96		96		96		96		96		96		96		96	01	1	1
2018	ES	54801	141413693	01	11	01	1946	01	2	01	1	01	4	01		96		96	54802	01		96		96		96		96		96		96		96	96	0	0
2018	ES	54802	141413693	01	03	01	1947	01	1	01	1	01	3	01		96		96	54801	01		96		96		96		96		96		96		96	96	0	0
2018	ES	55201	70917845	01	06	01	1970	01	1	01	1	01	1	01		96		96	55202	01		96		96		96		96		96		96		96	00	0	0
2018	ES	55202	70917845	01	02	01	1972	01	2	01	1	01	1	01		96		96	55201	01		96		96		96		96		96		96		96	00	0	0
2018	ES	55203	70917845	01	09	01	1999	01	1	01	1	01	4	01	55201	01	55202	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	55204	70917845	01	05	01	2003	01	1	01	1	01	4	01	55201	01	55202	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	55301	132959615	01	10	01	1932	01	1	01	1	01	3	01		96		96	55302	01		96		96		96		96		96		96		96	96	0	0
2018	ES	55302	132959615	01	06	01	1932	01	2	01	1	01	3	01		96		96	55301	01		96		96		96		96		96		96		96	96	0	0
2018	ES	55401	237949989	01	06	01	1971	01	2	01	1	01	1	01		96		96	55402	01		96		96		96		96		96		96		96	00	0	0
2018	ES	55402	237949989	01	06	01	1972	01	1	01	1	01	1	01		96		96	55401	01		96		96		96		96		96		96		96	00	0	0
2018	ES	55403	237949989	01	10	01	2006	01	1	01	2	01	4	01	55402	01	55401	01		96		96	25	01	0	01	0	01	0	01	0	01	245645590	01	00	0	0
2018	ES	55501	172265157	01	09	01	1976	01	1	01	1	01	1	01		96		96	55502	01		96		96		96		96		96		96		96	00	0	0
2018	ES	55502	172265157	01	08	01	1977	01	2	01	1	01	1	01		96		96	55501	01		96		96		96		96		96		96		96	00	0	0
2018	ES	55503	172265157	01	09	01	2012	01	2	01	1	01	4	01	55501	01	55502	01		96		96	20	01	0	01	0	01	0	01	0	01	181879275	01	00	0	0
2018	ES	55601	132959615	01	07	01	1932	01	1	01	1	01	3	01		96		96	55602	01		96		96		96		96		96		96		96	96	0	0
2018	ES	55602	132959615	01	07	01	1934	01	2	01	1	01	3	01		96		96	55601	01		96		96		96		96		96		96		96	96	0	0
2018	ES	55801	48385500	01	01	01	1965	01	2	01	1	01	1	01		96		96		96		96		96		96		96		96		96		96	01	1	1
2018	ES	55802	48385500	01	07	01	2000	01	1	01	1	01	4	01		96	55801	01		96		96		96		96		96		96		96		96	01	1	1
2018	ES	55803	48385500	01	12	01	2001	01	1	01	1	01	4	01		96	55801	01		96		96		96		96		96		96		96		96	01	1	1
2018	ES	55901	253704254	01	03	01	1947	01	1	01	1	01	3	01		96		96		96		96		96		96		96		96		96		96	96	0	0
2018	ES	56001	85106642	01	11	01	1970	01	1	01	1	01	1	01		96		96	56002	01		96		96		96		96		96		96		96	00	0	0
2018	ES	56002	85106642	01	08	01	1970	01	2	01	1	01	1	01		96		96	56001	01		96		96		96		96		96		96		96	00	0	0
2018	ES	56003	85106642	01	10	01	2000	01	1	01	1	01	4	01	56001	01	56002	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	56004	85106642	01	07	01	2003	01	1	01	1	01	4	01	56001	01	56002	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	56101	113205491	01	07	01	1953	01	1	01	1	01	1	01		96		96	56102	01		96		96		96		96		96		96		96	96	0	0
2018	ES	56102	113205491	01	06	01	1966	01	2	01	1	01	1	01		96		96	56101	01		96		96		96		96		96		96		96	00	0	0
2018	ES	56103	113205491	01	01	01	1993	01	2	01	1	01	4	01	56101	01	56102	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	56201	193496755	01	07	01	1978	01	1	01	1	01	1	01		96		96		96		96		96		96		96		96		96		96	00	0	0
2018	ES	56202	193496755	01	07	01	2008	01	2	01	1	01	4	01	56201	01		96		96		96	30	01	0	01	0	01	0	01	0	01	178371469	01	00	0	0
2018	ES	56301	98282541	01	08	01	1953	01	1	01	1	01	3	01		96		96	56303	01		96		96		96		96		96		96		96	96	0	0
2018	ES	56302	98282541	01	10	01	1932	01	2	01	1	01	3	01		96		96		96		96		96		96		96		96		96		96	96	0	0
2018	ES	56303	98282541	01	05	01	1954	01	2	01	1	01	3	01		96		96	56301	01		96		96		96		96		96		96		96	96	0	0
2018	ES	56304	98282541	01	03	01	1997	01	2	01	1	01	4	01	56301	01	56303	01		96		96		96		96		96		96		96		96	96	0	0
2018	ES	56401	305339124	01	09	01	1965	01	1	01	1	01	1	01		96		96	56402	01		96		96		96		96		96		96		96	00	0	0
2018	ES	56402	305339124	01	03	01	1967	01	2	01	1	01	1	01		96		96	56401	01		96		96		96		96		96		96		96	00	0	0
2018	ES	56403	305339124	01	04	01	1996	01	2	01	1	01	4	01	56401	01	56402	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	56404	305339124	01	03	01	2005	01	2	01	1	01	4	01	56401	01	56402	01		96		96	40	01	0	01	0	01	0	01	0	01		96	00	0	0
2018	ES	56501	244968750	01	12	01	1977	01	1	01	1	01	1	01		96		96	56502	01		96		96		96		96		96		96		96	00	1	1
2018	ES	56502	244968750	01	02	01	1977	01	2	01	1	01	1	01		96		96	56501	01		96		96		96		96		96		96		96	00	1	1
2018	ES	56503	244968750	01	01	01	2012	01	1	01	1	01	4	01	56501	01	56502	01		96		96	35	01	0	01	0	01	0	01	0	01	227818085	01	00	1	1
2018	ES	56601	132959615	01	02	01	1934	01	1	01	1	01	3	01		96		96	56602	01		96		96		96		96		96		96		96	96	0	0
2018	ES	56602	132959615	01	05	01	1938	01	2	01	1	01	4	01		96		96	56601	01		96		96		96		96		96		96		96	96	0	0
2018	ES	56801	132959615	01	03	01	1937	01	1	01	1	01	3	01		96		96	56802	01		96		96		96		96		96		96		96	96	0	0
2018	ES	56802	132959615	01	06	01	1937	01	2	01	1	01	3	01		96		96	56801	01		96		96		96		96		96		96		96	96	0	0
2018	ES	56901	254886374	01	09	01	1959	01	2	01	1	01	1	01		96		96	56902	01		96		96		96		96		96		96		96	00	0	0
2018	ES	56902	254886374	01	02	01	1965	01	1	01	1	01	1	01		96		96	56901	01		96		96		96		96		96		96		96	00	0	0
2018	ES	56903	254886374	01	11	01	1992	01	2	01	1	01	1	01	56902	01	56901	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	57001	160530527	01	09	01	1960	01	2	01	1	01	1	01		96		96	57002	01		96		96		96		96		96		96		96	00	0	0
2018	ES	57002	160530527	01	07	01	1957	01	1	01	1	01	2	01		96		96	57001	01		96		96		96		96		96		96		96	96	0	0
2018	ES	57003	160530527	01	02	01	1992	01	2	01	1	01	2	01	57002	01	57001	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	57101	123435609	01	06	01	1951	01	2	01	1	01	3	01		96		96		96		96		96		96		96		96		96		96	96	1	1
2018	ES	57201	117140588	01	10	01	1969	01	2	01	1	01	1	01		96		96	57202	01		96		96		96		96		96		96		96	00	1	1
2018	ES	57202	117140588	01	07	01	1967	01	1	01	1	01	1	01		96		96	57201	01		96		96		96		96		96		96		96	00	1	1
2018	ES	57203	117140588	01	07	01	2000	01	1	01	1	01	4	01	57202	01	57201	01		96		96		96		96		96		96		96		96	00	1	1
2018	ES	57301	130521256	01	01	01	1932	01	1	01	1	01	3	01		96		96		96		96		96		96		96		96		96		96	96	1	1
2018	ES	57401	129768553	01	11	01	1937	01	2	01	1	01	3	01		96		96		96		96		96		96		96		96		96		96	96	1	1
2018	ES	57501	115702195	01	06	01	1954	01	1	01	1	01	3	01		96		96		96		96		96		96		96		96		96		96	96	0	0
2018	ES	57502	115702195	01	10	01	1986	01	2	01	1	01	1	01	57501	01		96		96		96		96		96		96		96		96		96	00	0	0
2018	ES	57503	115702195	01	12	01	2016	01	2	01	1	01	4	01		96	57502	01		96	0	01		96		96	0	01	0	01	0	01	131164441	01	00	0	0
2018	ES	58001	198902481	01	07	01	1969	01	1	01	1	01	4	01		96		96	58002	01		96		96		96		96		96		96		96	00	0	0
2018	ES	58002	198902481	01	09	01	1972	01	2	01	1	01	1	01		96		96	58001	01		96		96		96		96		96		96		96	00	0	0
2018	ES	58003	198902481	01	11	01	1995	01	1	01	1	01	4	01	58001	01	58002	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	58004	198902481	01	05	01	1999	01	2	01	1	01	1	01	58001	01	58002	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	58301	101033605	01	05	01	1933	01	2	01	1	01	3	01		96		96		96		96		96		96		96		96		96		96	96	0	0
2018	ES	58401	33835495	01	06	01	1965	01	2	01	1	01	4	01		96		96	58402	01		96		96		96		96		96		96		96	01	1	1
2018	ES	58402	33835495	01	03	01	1956	01	1	01	1	01	3	01		96		96	58401	01		96		96		96		96		96		96		96	96	1	1
2018	ES	58403	33835495	01	03	01	1999	01	1	01	1	01	4	01	58402	01	58401	01		96		96		96		96		96		96		96		96	01	1	1
2018	ES	58404	33835495	01	03	01	2002	01	2	01	1	01	4	01	58402	01	58401	01		96		96		96		96		96		96		96		96	01	1	1
2018	ES	58501	100930888	01	04	01	1944	01	2	01	1	01	3	01		96		96	58502	01		96		96		96		96		96		96		96	96	0	0
2018	ES	58502	100930888	01	12	01	1939	01	1	01	1	01	3	01		96		96	58501	01		96		96		96		96		96		96		96	96	0	0
2018	ES	58701	78951800	01	11	01	1932	01	2	01	1	01	3	01		96		96		96		96		96		96		96		96		96		96	96	0	0
2018	ES	58702	78951800	01	12	01	1968	01	1	01	1	01	4	01		96	58701	01		96		96		96		96		96		96		96		96	01	1	1
2018	ES	59101	47988213	01	03	01	1958	01	2	01	1	01	4	01		96		96	59102	01		96		96		96		96		96		96		96	00	0	0
2018	ES	59102	47988213	01	09	01	1954	01	1	01	1	01	3	01		96		96	59101	01		96		96		96		96		96		96		96	96	0	0
2018	ES	59103	47988213	01	05	01	1980	01	2	01	1	01	1	01	59102	01	59101	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	59104	47988213	01	06	01	2007	01	1	01	1	01	4	01		96	59103	01		96		96	35	01	0	01	0	01	0	01	0	01	49540212	01	00	0	0
2018	ES	59105	47988213	01	10	01	2009	01	1	01	1	01	4	01		96	59103	01		96		96	35	01	0	01	0	01	0	01	0	01	59979448	01	00	0	0
2018	ES	59106	47988213	01	11	01	2013	01	2	01	1	01	4	01		96	59103	01		96	35	01		96	0	01	0	01	0	01	0	01	47721739	01	00	0	0
2018	ES	59301	48973107	01	11	01	1957	01	2	01	1	01	4	01		96	59302	01	59303	01		96		96		96		96		96		96		96	96	0	0
2018	ES	59302	48973107	01	05	01	1932	01	2	01	1	01	4	01		96		96		96		96		96		96		96		96		96		96	96	0	0
2018	ES	59303	48973107	01	03	01	1952	01	1	01	1	01	3	01		96		96	59301	01		96		96		96		96		96		96		96	96	0	0
2018	ES	59304	48973107	01	06	01	1977	01	2	01	1	01	1	01	59303	01	59301	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	59305	48973107	01	03	01	1983	01	2	01	1	01	1	01	59303	01	59301	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	59306	48973107	01	05	01	1990	01	2	01	1	01	1	01	59303	01	59301	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	59501	60981705	01	08	01	1951	01	1	01	1	01	3	01		96		96	59502	01		96		96		96		96		96		96		96	96	0	0
2018	ES	59502	60981705	01	09	01	1957	01	2	01	1	01	1	01		96		96	59501	01		96		96		96		96		96		96		96	96	0	0
2018	ES	59503	60981705	01	11	01	1979	01	2	01	1	01	1	01	59501	01	59502	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	59504	60981705	01	03	01	2000	01	1	01	1	01	4	01		96	59503	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	60101	116579821	01	12	01	1936	01	2	01	1	01	3	01		96		96		96		96		96		96		96		96		96		96	96	0	0
2018	ES	60102	116579821	01	12	01	1969	01	2	01	1	01	1	01		96		96		96		96		96		96		96		96		96		96	00	0	0
2018	ES	60501	87565706	01	08	01	1980	01	2	01	1	01	1	01		96		96	60502	01		96		96		96		96		96		96		96	00	0	0
2018	ES	60502	87565706	01	05	01	1970	01	1	01	1	01	1	01		96		96	60501	01		96		96		96		96		96		96		96	00	0	0
2018	ES	60503	87565706	01	09	01	2017	01	2	01	1	01	4	01	60502	01	60501	01		96	25	01		96	0	01	0	01	0	01	0	01	99267839	01	00	0	0
2018	ES	60601	134298964	01	04	01	1975	01	1	01	1	01	1	01		96		96	60602	01		96		96		96		96		96		96		96	00	0	0
2018	ES	60602	134298964	01	07	01	1970	01	2	01	1	01	1	01		96		96	60601	01		96		96		96		96		96		96		96	00	0	0
2018	ES	60603	134298964	01	03	01	2006	01	1	01	1	01	4	01	60601	01	60602	01		96		96	25	01	0	01	0	01	0	01	0	01	144079268	01	00	0	0
2018	ES	60604	134298964	01	03	01	2007	01	2	01	1	01	4	01	60601	01	60602	01		96		96	25	01	0	01	0	01	0	01	0	01	138642361	01	00	0	0
2018	ES	60701	139947731	01	01	01	1943	01	1	01	1	01	3	01		96		96	60702	01		96		96		96		96		96		96		96	96	0	0
2018	ES	60702	139947731	01	04	01	1945	01	2	01	1	01	3	01		96		96	60701	01		96		96		96		96		96		96		96	96	0	0
2018	ES	60801	147348044	01	04	01	1947	01	1	01	1	01	3	01		96		96	60802	01		96		96		96		96		96		96		96	96	0	0
2018	ES	60802	147348044	01	08	01	1952	01	2	01	1	01	3	01		96		96	60801	01		96		96		96		96		96		96		96	96	0	0
2018	ES	60803	147348044	01	02	01	1975	01	1	01	1	01	1	01		96		96		96		96		96		96		96		96		96		96	00	0	0
2018	ES	61101	132082231	01	09	01	1954	01	1	01	1	01	3	01		96		96	61102	01		96		96		96		96		96		96		96	96	1	1
2018	ES	61102	132082231	01	06	01	1954	01	2	01	1	01	3	01		96		96	61101	01		96		96		96		96		96		96		96	96	1	1
2018	ES	61301	46804516	01	07	01	1959	01	1	01	1	01	3	01		96		96	61302	01		96		96		96		96		96		96		96	00	0	0
2018	ES	61302	46804516	01	11	01	1964	01	2	01	1	01	1	01		96		96	61301	01		96		96		96		96		96		96		96	00	0	0
2018	ES	61303	46804516	01	06	01	2000	01	1	01	1	01	4	01	61301	01	61302	01		96		96		96		96		96		96		96		96	00	0	0
2018	ES	61401	131667695	01	03	01	1976	01	2	01	1	01	1	01		96		96	61402	01		96		96		96		96		96		96		96	00	0	0
2018	ES	61402	131667695	01	02	01	1976	01	1	01	1	01	1	01		96		96	61401	01		96		96		96		96		96		96		96	00	0	0
2018	ES	61403	131667695	01	10	01	2006	01	1	01	1	01	4	01	61402	01	61401	01		96		96	35	01	0	01	0	01	0	01	0	01	141256377	01	00	0	0
2018	ES	61404	131667695	01	11	01	2015	01	1	01	1	01	4	01	61402	01	61401	01		96	30	01		96	0	01	0	01	0	01	0	01	135281803	01	00	0	0
2018	ES	61501	144282577	01	10	01	1961	01	1	01	1	01	1	01		96		96	61502	01		96		96		96		96		96		96		96	00	0	0
2018	ES	61502	144282577	01	01	01	1973	01	2	01	1	01	1	01		96		96	61501	01		96		96		96		96		96		96		96	00	0	0
2018	ES	61503	144282577	01	10	01	2005	01	2	01	1	01	4	01	61501	01	61502	01		96		96	35	01	0	01	0	01	0	01	0	01		96	00	0	0
2018	ES	61901	352898227	01	02	01	1963	01	1	01	1	01	1	01		96		96	61902	01		96		96		96		96		96		96		96	00	0	0
2018	ES	61902	352898227	01	09	01	1950	01	2	01	1	01	3	01		96		96	61901	01		96		96		96		96		96		96		96	96	0	0
